year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2023,Laptop,Acer Aspire Lite,14 AL14-32P,AL14-32P-C1ES,Intel N150 4-core,Intel UHD Graphics,"14"" WUXGA 1920x1200",8GB DDR5,512GB SSD,1.1,5349000,350,60,IPS ComfyView,,Acer Official Store 2025,Plastic-Aluminum
2023,Laptop,Acer Aspire,3 Slim A314-35,A314-35-C8QL,Intel Celeron N4500,Intel UHD Graphics 600,"14"" FHD 1920x1080",4GB DDR4,256GB SSD,1.4,4500000,295,60,IPS ComfyView,,Carisinyal 2024,Plastic
2024,Laptop,Acer Aspire,3 Slim A314 Ryzen,A314-AMD-R3,AMD Ryzen 3 7320U,AMD Radeon Vega 6,"14"" FHD 1920x1080",8GB DDR4,512GB SSD,1.4,5100000,334,60,IPS ComfyView,,Carisinyal 2024,Plastic-Aluminum
2023,Laptop,Acer Aspire,3 A315-24P,A315-24P-R3ZH,AMD Ryzen 5 7520U,AMD Radeon Vega 7,"15.6"" FHD 1920x1080",8GB DDR4,512GB SSD,1.7,6500000,426,60,LED,,Carisinyal 2024,Plastic
2024,Laptop,Acer Aspire,3 Spin A3SP14,A3SP14-31PT-35GN,Intel Core i3-N305 8-core,Intel UHD Graphics 32EU,"14"" Touch WUXGA 1920x1200",8GB DDR4,512GB SSD,1.5,8399000,550,60,IPS Touch,,Suara 2024,Aluminum-Plastic
2024,Laptop,Acer Aspire,5 Slim A515-58M,A515-58M-91Y5,Intel Core i9-13900H,Intel Iris Xe,"15.6"" FHD 1920x1080",16GB DDR4,512GB SSD,1.7,13299000,872,60,IPS,,Suara 2024,Aluminum
2024,Laptop,Acer Aspire,5 Slim i7,A515-58M-i7-1355U,Intel Core i7-1355U,Intel Iris Xe,"15.6"" FHD 1920x1080",16GB DDR4,512GB SSD,1.7,12900000,845,60,IPS,,Carisinyal 2025,Aluminum
2024,Laptop,Acer Aspire,Spin 14 ASP14,ASP14-51MTN-59EF,Intel Core 5 120U,Intel Graphics 64EU,"14"" Touch WUXGA 1920x1200",16GB LPDDR5,512GB SSD,1.5,12249000,803,60,IPS Touch,,Suara 2024,Aluminum
2024,Laptop,Acer Aspire,Spin 14 ASP14 i7,ASP14-51MTN-74KV,Intel Core 7 150U,Intel Graphics 80EU,"14"" Touch WUXGA 1920x1200",16GB LPDDR5,512GB SSD,1.5,13999000,917,60,IPS Touch,,Blibli 2025,Aluminum
2024,Laptop,Acer Aspire,7 Pro A715,A715-i5-RTX3050,Intel Core i5-12450H,NVIDIA RTX 3050 6GB,"15.6"" FHD 1920x1080",16GB DDR4,1TB SSD,2.1,10999000,721,144,IPS,,Datascript Mall 2025,Plastic-Aluminum
2024,Laptop,Acer Aspire Vero,AVN16,AVN16-NatGeo,Intel Core i5-1155G7,Intel Iris Xe,"15.6"" FHD 1920x1080",8GB DDR4,512GB SSD,1.8,9500000,623,60,IPS,,Telset 2022,30% PCR Plastic
2024,Laptop,Acer Aspire Vero,16 AVN16-51,AVN16-51-Ultra7,Intel Core Ultra 7 155U,Intel Arc,"16"" WUXGA 1920x1200",16GB LPDDR5X,1TB SSD,1.8,14200000,931,60,IPS,AI 34 TOPS,IDN Times 2024,60% PCR Plastic
2025,Laptop,Acer Swift Lite,14 Air Edition,SFL14-Air-U5,Intel Core Ultra 5 125H,Intel Arc,"14"" 2.2K 2240x1400",16GB LPDDR5X,512GB SSD,0.99,12999000,852,60,IPS,AI 34 TOPS,Datascript Mall 2025,Aluminum
2024,Laptop,Acer Swift,3 OLED SF314,SF314-OLED-i7,Intel Core i7-1355U,Intel Iris Xe,"14"" 2.8K OLED 2880x1800",16GB LPDDR5,512GB SSD,1.4,13499000,885,60,OLED,,Telset 2022,Aluminum
2024,Laptop,Acer Swift,5 SF514-54GT,SF514-54GT-i7,Intel Core i7-1065G7,NVIDIA MX250 2GB,"14"" FHD 1920x1080",8GB LPDDR4X,512GB SSD,0.99,15999000,1048,60,IPS,,Datascript Mall 2025,Aluminum
2023,Laptop,Acer Swift,Go 14 SFG14-41,SFG14-41-R3ZH,AMD Ryzen 7 7730U,AMD Radeon Vega 7,"14"" FHD 1920x1080",16GB LPDDR5,512GB SSD,1.25,12199000,799,60,IPS,,Suara 2024,Aluminum
2024,Laptop,Acer Swift,Go 14 Touch SFG14-71T,SFG14-71T-51MG,Intel Core i5-13500H,Intel Iris Xe,"14"" FHD+ Touch 1920x1200",16GB LPDDR5,512GB SSD,1.3,12899000,845,60,IPS Touch,,Suara 2024,Aluminum
2024,Laptop,Acer Swift,Go 14 AI SFG14-73T,SFG14-73T-5184,Intel Core Ultra 5 125H,Intel Arc,"14"" 2.2K 2240x1400",32GB LPDDR5X,512GB SSD,1.32,14499000,950,60,IPS,AI 34 TOPS,Suara 2024,Aluminum
2024,Laptop,Acer Swift,Go 14 AI SFG14-73T,SFG14-73T-94QB,Intel Core Ultra 9 185H,Intel Arc,"14"" 2.2K 2240x1400",32GB LPDDR5X,1TB SSD,1.32,18999000,1245,60,IPS,AI 34 TOPS,Suara 2024,Aluminum
2025,Laptop,Acer Swift,Go Air 2025,SFG-GoAir-2025,Intel Core Ultra 7 155H,Intel Arc,"14"" 2.2K 2240x1400",32GB LPDDR5X,1TB SSD,1.2,12400000,813,60,IPS Matte,AI 34 TOPS,Datascript Mall 2025,Aluminum
2023,Laptop,Acer Swift,14 SF314 i7,SF314-i7-13700H,Intel Core i7-13700H,Intel Iris Xe,"14"" FHD 1920x1080",16GB LPDDR5,512GB SSD,1.2,21400000,1403,60,IPS Gorilla Glass,,Carisinyal 2025,Aluminum
