No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Musicplay;Battery_Standby;Battery_Talktime;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Browser;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Triple;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;Asus;Asus Zenfone 2 Laser ZE500KL;https://www.gsmarena.com/asus_zenfone_2_laser_ze500kl-7474.php;N/A;N/A;N/A;N/A;N/A;N/A;Li-Po 2400 mAh, removable;N/A;Glass front (Gorilla Glass 4), plastic back, plastic frame;143.7 x 71.5 x 10.5 mm (5.66 x 2.81 x 0.41 in);Dual SIM (Micro-SIM, dual stand-by);140 g (4.94 oz);4.0, A2DP, EDR;N/A;No;GPS, GLONASS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;N/A;Corning Gorilla Glass 4;720 x 1280 pixels, 16:9 ratio (~294 ppi density);5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio);TFT;N/A;N/A;N/A;N/A;N/A;N/A;Accelerometer, proximity, compass;2015, August. Released 2015, August;Discontinued;N/A;Laser AF, Dual-LED dual-tone flash, panorama, HDR;13 MP, f/2.0;N/A;1080p@30fps;eMMC 4.5;microSDXC (dedicated slot);8GB 2GB RAM, 16GB 2GB RAM;Black/Ceramic White/Silver/Purple/Aqua Blue/Sheer Gold/Glamour Red;Z00ED;About 210 EUR;N/A;N/A;1, 3, 38, 40, 41 - India;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100 - Global;1, 2, 3, 5, 7, 8, 20 - Global;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Quad-core 1.2 GHz Cortex-A53;Qualcomm MSM8916 Snapdragon 410 (28 nm);Adreno 306;Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow), ZenUI;N/A;N/A;N/A;5 MP, f/2.0, AF;N/A;;N/A;Yes;Yes
2;Asus;Asus Zenfone Max ZC550KL;https://www.gsmarena.com/asus_zenfone_max_zc550kl-7476.php;N/A;N/A;Reverse wired;N/A;Up to 914 h (3G);Up to 38 h (3G);Li-Po 5000 mAh, non-removable;N/A;Glass front (Gorilla Glass 4), plastic back, plastic frame;156 x 77.5 x 10.6 mm (6.14 x 3.05 x 0.42 in);Dual SIM (Micro-SIM, dual stand-by);202 g (7.13 oz);4.0, A2DP, EDR;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;N/A;Corning Gorilla Glass 4;720 x 1280 pixels, 16:9 ratio (~267 ppi density);5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;N/A;Accelerometer, proximity, compass;2015, August. Released 2016, January;Discontinued;N/A;Laser AF, Dual-LED dual-tone flash, panorama, HDR;13 MP, f/2.0;N/A;1080p@30fps;eMMC 4.5;microSDXC (dedicated slot);8GB 2GB RAM, 16GB 2GB RAM;Black, White;Z010D, Z010DA;About 170 EUR;N/A;N/A;1, 2, 3, 5, 7, 8, 20 - Global;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 38, 39, 40, 41 - India;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;Noise -93.4dB / Crosstalk -95.2dB;N/A;Endurance rating 121h;Photo / Video;Contrast ratio: 1093 (nominal), 2.068 (sunlight);Voice 63dB / Noise 66dB / Ring 75dB;Basemark OS II 2.0: 624Basemark X: 1844;Quad-core 1.2 GHz Cortex-A53;Qualcomm MSM8916 Snapdragon 410 (28 nm);Adreno 306;Android 5.0.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), ZenUI;N/A;N/A;N/A;5 MP, f/2.0;N/A;;N/A;Yes;Yes
3;Asus;Asus Zenfone 4 Max ZC520KL;https://www.gsmarena.com/asus_zenfone_4_max_zc520kl-8811.php;N/A;N/A;Reverse wired;N/A;N/A;N/A;Li-Po 4100 mAh, non-removable;N/A;N/A;150.5 x 73.3 x 8.8 mm (5.93 x 2.89 x 0.35 in);Nano-SIM + Micro-SIM;156 g (5.50 oz);4.1, A2DP, LE;N/A;No;GPS, GLONASS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;N/A;N/A;720 x 1280 pixels, 16:9 ratio (~282 ppi density);5.2 inches, 74.5 cm2 (~67.6% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass;2017, August. Released 2017, October;Discontinued;"13 MP, AF
5 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);16GB 2GB RAM, 32GB 3GB RAM;Black, Gold, Silver;X00HD;About 180 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 40;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Quad-core 1.4 GHz Cortex-A53;Qualcomm MSM8917 Snapdragon 425 (28 nm);Adreno 308;Android 7 (Nougat), upgradable to Android 8 (Oreo), ZenUI 4;N/A;N/A;LED flash;8 MP;N/A;1080p@30fps;N/A;Yes;Yes
4;Asus;Asus ROG Phone 7 Ultimate;https://www.gsmarena.com/asus_rog_phone_7_ultimate-12224.php;N/A;N/A;"65W wired, PD3.0, QC5, 100% in 42 min
10W reverse wired";N/A;N/A;N/A;Li-Po 6000 mAh;"Built-in motorized cooling air vent (AeroActive Portal)
IP54 dust protected and water resistant (water splashes)
2"" OLED display (on the back)
Pressure sensitive zones (Gaming triggers)";Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame;173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in);Nano-SIM + Nano-SIM;239 g (8.43 oz);5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;N/A;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5);No;"USB Type-C 3.1 (side), DisplayPort 1.4; USB Type-C 2.0 (bottom), OTG, accessory connector";Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus;1080 x 2448 pixels (~395 ppi density);6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio);AMOLED, 1B colors, 165Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak);N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, April 13;Available. Released 2023, May;N/A;LED flash, HDR, panorama;N/A;"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF
13 MP, f/2.2, 13mm, 120˚ (ultrawide)
5 MP, f/2.0, (macro)";"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+";"UFS 4.0
NTFS support for external storage";No;512GB 16GB RAM;Storm White;N/A;About 780 EUR;N/A;N/A;1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA/Sub6 - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International;1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International;HSPA, LTE (Up to 7CA), 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;Endurance rating 131h;Photo / Video;1095 nits max brightness (measured);-25.5 LUFS (Very good);"AnTuTu: 1325105 (v9)
GeekBench: 5139 (v5.5), 5567 (v6)
GFXBench: 107fps (ES 3.1 onscreen)";Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm);Adreno 740;Android 13, up to 2 major Android upgrades;N/A;N/A;Panorama, HDR;"32 MP, f/2.5, 29mm (wide), 1/3.2"", 0.7µm";N/A;1080p@30fps;"32-bit/384kHz Hi-Res audio
Snapdragon Sound";Yes;Yes, with stereo speakers (2 amplifiers)
5;Asus;Asus ROG Phone 9 FE;https://www.gsmarena.com/asus_rog_phone_9_fe-13641.php;N/A;N/A;"65W wired, PD3.0, PPS, QC5, 100% in 39 min
15W wireless (Qi)
10W reverse wired";N/A;N/A;N/A;5500 mAh;"IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
Mini-LED (341 dots) programmable matrix (on the back)
Pressure sensitive zones (Gaming triggers)";Glass front (Gorilla Glass Victus 2), glass back, aluminum frame;163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in);Nano-SIM + Nano-SIM;225 g (7.94 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;N/A;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC, GLONASS;No;"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG";Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus 2;1080 x 2400 pixels, 20:9 ratio (~388 ppi density);6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio);LTPO AMOLED, 1B colors, 185Hz, HDR10, 1600 nits (HBM), 2500 nits (peak);N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, February 04;Available. Released 2025, February 04;N/A;LED flash, HDR, panorama;N/A;"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS
13 MP, f/2.2, 13mm, 120˚ (ultrawide)
5 MP, f/2.4, (macro)";"8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+";"UFS 4.0
NTFS support for external storage";No;256GB 16GB RAM;Phantom Black;AI2401;About 860 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66;1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 15, up to 2 major Android upgrades;N/A;N/A;Panorama, HDR;"32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm";N/A;1080p@30fps;"32-bit/384kHz Hi-Res & Hi-Res wireless audio
Snapdragon sound";Yes;Yes, with stereo speakers
6;Asus;Asus ROG Phone 8 Pro;https://www.gsmarena.com/asus_rog_phone_8_pro-12746.php;N/A;N/A;"65W wired, PD3.0, PPS, QC5, 100% in 39 min - International
30W wired, PD3.0, PPS - India
15W wireless (Qi)
10W reverse wired";N/A;N/A;N/A;5500 mAh;"IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
341 Mini-LED programmable matrix (on the back)
Pressure sensitive zones (Gaming triggers)";Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame;163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in);Nano-SIM + Nano-SIM;225 g (7.94 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;N/A;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG";Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus 2;1080 x 2400 pixels, 20:9 ratio (~388 ppi density);6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio);LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak);N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, January 08;Available. Released 2024, January 18;N/A;LED flash, HDR, panorama;N/A;"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS
32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom
13 MP, f/2.2, 13mm, 120˚ (ultrawide)";"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+";"UFS 4.0
NTFS support for external storage";No;512GB 16GB RAM, 1TB 24GB RAM;Phantom Black;AI2401, AI2401_A, AI2401_D;$ 1,197.99 / € 985.31;N/A;N/A;1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International;1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International;HSPA, LTE (Up to 7CA), 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;Active use score 14:43h;N/A;Photo / Video;1765 nits max brightness (measured);-26.3 LUFS (Good);"AnTuTu: 1639368 (v9), 2167612 (v10)
GeekBench: 6542 (v5), 7178 (v6)
GFXBench: 163fps (offscreen 1080p)";Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 14, up to 2 major Android upgrades;N/A;N/A;Panorama, HDR;"32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm";N/A;1080p@30fps;32-bit/384kHz Hi-Res & Hi-Res wireless audio;Yes;Yes, with stereo speakers
7;Asus;Asus Zenfone 9;https://www.gsmarena.com/asus_zenfone_9-11656.php;N/A;N/A;"30W wired, PD3.0, PPS, QC4
5W reverse wired";N/A;N/A;N/A;Li-Po 4300 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass Victus), plastic back, aluminum frame;146.5 x 68.1 x 9.1 mm (5.77 x 2.68 x 0.36 in);Nano-SIM + Nano-SIM;169 g (5.96 oz);5.2, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;N/A;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5);No;USB Type-C, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus;1080 x 2400 pixels, 20:9 ratio (~445 ppi density);5.9 inches, 84.4 cm2 (~84.6% screen-to-body ratio);Super AMOLED, 120Hz, HDR10+, 1100 nits (peak);N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2022, July 28;Available. Released 2022, September 15;"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, gimbal OIS
12 MP, f/2.2, 14mm, 113° (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF";LED flash, HDR, panorama;N/A;N/A;"8K@24fps, 4K@30/60/120fps, 1080p@30/60/240fps; gyro-EIS, HDR";UFS 3.1;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 16GB RAM;Starry Blue, Moonlight White, Sunset Red, Midnight Black;AI2202-1A006EU, AI2202, AI2202_B;£ 749.99;N/A;N/A;1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78 - C version;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42 - A version;1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 77, 78 - A version;HSPA 42.2/5.76 Mbps, LTE (5CA) Cat20 2000/211 Mbps, 5G 4.5/0.9 Gbps;GSM / HSPA / LTE / 5G;N/A;N/A;Endurance rating 108h;Photo / Video;831 nits max brightness (measured);-26.7 LUFS (Good);"AnTuTu: 1083092 (v9)
GeekBench: 4338 (v5.1)
GFXBench: 89fps (ES 3.1 onscreen)";Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);Adreno 730;Android 12, upgradable to Android 14;N/A;N/A;N/A;"12 MP, f/2.5, 28mm (standard), 1/2.93"", 1.22µm, dual pixel PDAF";N/A;4K@30fps, 1080p@30/60fps;"24-bit/192kHz Hi-Res audio
Snapdragon Sound";Yes;Yes, with stereo speakers
8;Asus;Asus ROG Phone 8;https://www.gsmarena.com/asus_rog_phone_8-12780.php;N/A;N/A;"65W wired, PD3.0, PPS, QC5, 100% in 39 min - International
30W wired, PD3.0, PPS - India
15W wireless (Qi)
10W reverse wired";N/A;N/A;N/A;5500 mAh;"IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
Illuminated RGB logo (on the back)
Pressure sensitive zones (Gaming triggers)";Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame;163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in);Nano-SIM + Nano-SIM;225 g (7.94 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;N/A;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG";Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus 2;1080 x 2400 pixels, 20:9 ratio (~388 ppi density);6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio);LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak);N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, January 08;Available. Released 2024, January 18;N/A;LED flash, HDR, panorama;N/A;"- International model -
50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS
32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom
13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm

- SEA/China/India model -
50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS
13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm
5 MP, f/2.4, (macro)";"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+";"UFS 4.0
NTFS support for external storage";No;256GB 12GB RAM, 256GB 16GB RAM;Phantom Black,  Rebel Grey;AI2401, AI2401_A;$ 1,709.00 / € 879.99;N/A;N/A;1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International;1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International;HSPA, LTE (Up to 7CA), 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 14, up to 2 major Android upgrades;N/A;N/A;Panorama, HDR;"32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm";N/A;1080p@30fps;32-bit/384kHz Hi-Res & Hi-Res wireless audio;Yes;Yes, with stereo speakers
9;Asus;Garmin-Asus A10;https://www.gsmarena.com/garmin_asus_a10-3295.php;N/A;N/A;N/A;N/A;Up to 530 h (2G) / Up to 660 h (3G);Up to 9 h 20 min (2G) / Up to 12 h (3G);Removable Li-Ion 1500 mAh battery;N/A;N/A;-;Mini-SIM;-;2.0, A2DP, EDR;N/A;N/A;GPS, A-GPS, Garmin navigation;No;2.0;Wi-Fi 802.11 b/g;N/A;N/A;320 x 480 pixels, 3:2 ratio (~180 ppi density);3.2 inches, 30.5 cm2;TFT, 256K colors;N/A;N/A;N/A;N/A;"MP3/eAAC+/WAV player
MP4/H.264 player
Document viewer
Photo viewer/editor
Organizer
Voice memo
Predictive text input";HTML;Accelerometer, compass;2010, April. Released 2010, July;Discontinued;N/A;N/A;5 MP, AF;N/A;320p@30fps;N/A;microSDHC (dedicated slot);4GB 512MB RAM;Black;N/A;About 310 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;N/A;N/A;HSPA 7.2/0.384 Mbps;GSM / HSPA;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Android 2.1 (Eclair);No;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Yes
10;Asus;Asus Zenfone 3 Zoom ZE553KL;https://www.gsmarena.com/asus_zenfone_3_zoom_ze553kl-8509.php;N/A;N/A;"18W wired
2.5W reverse wired";N/A;N/A;N/A;Li-Ion 5000 mAh, non-removable;N/A;N/A;154.3 x 77 x 8 mm (6.07 x 3.03 x 0.31 in);Nano-SIM + Nano-SIM;170 g (6.00 oz);4.2, A2DP, EDR, LE;N/A;No;GPS, GLONASS, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 b/g/n;N/A;Corning Gorilla Glass 5;1080 x 1920 pixels, 16:9 ratio (~401 ppi density);5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio);AMOLED;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2017, January. Released 2017, February;Discontinued;"12 MP, f/1.7, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, 4-axis OIS
12 MP, f/2.8, 59mm (telephoto), AF, 2.3x optical zoom";Laser AF, Dual-LED dual-tone flash, panorama, HDR;N/A;N/A;4K@24fps, 1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM;Navy Black, Glacier Silver, Rose Gold;Z01HD, Z01HDA, ZE553KL;About 320 EUR;N/A;N/A;1, 2, 3, 4, 5, 7, 8, 17, 28 - USA/Brazil;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100 - Global;1, 2, 3, 5, 7, 8, 20 - Global;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps (Global), LTE (2CA) Cat6 300/50 Mbps (Taiwan);GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core 2.0 GHz Cortex-A53;Qualcomm MSM8953 Snapdragon 625 (14 nm);Adreno 506;Android 6.1 (Marshmallow), upgradable to Android 8 (Oreo), ZenUI 3;N/A;N/A;N/A;"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm";N/A;1080p@30fps;24-bit/192kHz audio;Yes;Yes
