No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Camera_;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;Huawei;Huawei nova Y70 Plus;https://www.gsmarena.com/huawei_nova_y70_plus-11489.php;N/A;N/A;22.5W wired;Li-Po 6000 mAh;N/A;N/A;168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in);Nano-SIMNano-SIM + Nano-SIM;199 g (7.02 oz);N/A;5.1, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 b/g/n;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~260 ppi density);6.75 inches, 110.0 cm2 (~84.1% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2022, April 20;Available. Released 2022, May 01;N/A;LED flash, HDR, panorama;N/A;N/A;"48 MP, f/1.8, 26mm (wide), PDAF
5 MP, f/2.2, 120˚ (ultrawide)
2 MP, f/2.4, (depth)";1080p@30fps;N/A;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM;Crystal Blue, Midnight Black, Pearl White;MGA-LX9, MGA-LX9N, MGA-LX3;€ 98.37;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Africa;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Europe;1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 66 - Europe;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);Kirin 710A (14 nm);Mali-G51 MP4;EMUI 12, no Google Play Services;N/A;HDR;8 MP, f/2.0;1080p@30fps;N/A;Yes;Yes
2;Huawei;Huawei Nova Y63;https://www.gsmarena.com/huawei_nova_y63_4g-13845.php;N/A;N/A;22.5W wired;6000 mAh;N/A;N/A;168.3 x 77.7 x 8.9 mm (6.63 x 3.06 x 0.35 in);Nano-SIM + Nano-SIM;207 g (7.30 oz);N/A;5.0, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~260 ppi density);6.75 inches, 110.0 cm2 (~84.1% screen-to-body ratio);IPS LCD, 90Hz;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2025, May 07;Available. Released 2025, May 12;"50 MP, f/1.8, 26mm (wide), PDAF
2 MP, (macro)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;N/A;No;128GB 4GB RAM, 128GB 6GB RAM;Silver, Black;GFY-LX1;About 240 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 13, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver);Qualcomm SM6225 Snapdragon 680 4G (6 nm);Adreno 610;Android 12, EMUI 14.2, no Google Play Services;N/A;N/A;8 MP, f/2.0, (wide);1080p@30fps;N/A;No;Yes
3;Huawei;Huawei nova 13;https://www.gsmarena.com/huawei_nova_13-13466.php;N/A;N/A;"100W wired, 3-50% in 10 min
5W reverse wired";5000 mAh;Splash, water and dust resistant;N/A;161.4 x 75.3 x 7 mm (6.35 x 2.96 x 0.28 in);Nano-SIM + Nano-SIM;195 g (6.88 oz);N/A;5.2, A2DP, LE, L2HC (320-960 kbps HD audio);Yes;Yes;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Aluminosilicate glass;1084 x 2412 pixels, 20:9 ratio (~395 ppi density);6.7 inches, 108.3 cm2 (~89.1% screen-to-body ratio);OLED, 1B colors, HDR, 120Hz;N/A;N/A;N/A;N/A;"BDS Satellite Calling and Messaging - China only
Virtual proximity sensing";Fingerprint (under display, optical), accelerometer, gyro, compass;2024, October 22;Available. Released 2024, October 25;"50 MP, f/1.9, (wide), PDAF
8 MP, f/2.2, 112˚ (ultrawide), AF";Laser AF, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;N/A;4K, 1080p, gyro-EIS;N/A;No;256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM;Black, White, Purple, Green;BLK-AL80, BLK-LX9;About 350 EUR;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;HarmonyOS 4.2;N/A;HDR, panorama;60 MP, f/2.4, 17mm, 100˚ (ultrawide);4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes
4;Huawei;Huawei nova 14;https://www.gsmarena.com/huawei_nova_14_5g-13879.php;N/A;N/A;"100W wired, SCP, UFCS, PD, PPS, QC
5W reverse wired";5500 mAh;IP65 dust tight and water resistant (low pressure water jets);N/A;161.7 x 75.5 x 7.2 mm (6.37 x 2.97 x 0.28 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);N/A;5.2, A2DP, LE, L2HC (320-960 kbps HD audio);Yes;Yes;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Aluminosilicate glass;1084 x 2412 pixels, 20:9 ratio (~395 ppi density);6.7 inches, 108.3 cm2 (~88.7% screen-to-body ratio);OLED, 1B colors, HDR Vivid, 120Hz, 1100 nits (HBM);N/A;N/A;N/A;N/A;Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, gyro, compass;2025, May 19;Available. Released 2025, May 19;N/A;Color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, 23mm (wide), 1/1.56"", Dual Pixel PDAF
12 MP, f/2.4, 69mm (telephoto), PDAF, OIS, 3x optical zoom
8 MP, f/2.2, 16mm, 112˚ (ultrawide), AF";4K, 1080p, gyro-EIS;N/A;No;256GB 12GB RAM, 512GB 12GB RAM;Black, White, Blue;TLR-AL00;About 330 EUR;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.4 GHz & 3x2.2 GHz & 4x1.84 GHz);Kirin 8000 (7 nm);Mali-G610 MP4;HarmonyOS 5.0;N/A;HDR, panorama;"50 MP, f/2.4, 1/2.5""";4K, 1080p, gyro-EIS;N/A;No;Yes, with stereo speakers
5;Huawei;Huawei Pura 80 Pro;https://www.gsmarena.com/huawei_pura_80_pro_5g-13946.php;N/A;N/A;"100W wired 
80W wireless
18W reverse wired
Reverse wireless";Li-Po 5170 mAh - InternationalLi-Po 5700 mAh - China;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min)";Glass front, aluminum frame, glass back;163 x 76.1 x 8.3 mm (6.42 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM + eSIM (max 2 at a time)Nano-SIM + Nano-SIM;219 g (7.72 oz);N/A;5.2, A2DP, LE, L2HC;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC;No;USB Type-C 3.1, OTG, DisplayPort 1.2;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;Kunlun Glass 2, Mohs level 4;1276 x 2848 pixels, 20:9 ratio (~459 ppi density);6.8 inches, 111.3 cm2 (~89.7% screen-to-body ratio);LTPO OLED, 1B colors, HDR Vivid, 120Hz, 1440Hz PWM, 3000 nits (peak);41:00h endurance, 1000 cycles;Class C;Class D (45 falls);Class C;BDS Satellite Messaging - China only;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;2025, June 11;Available. Released 2025, June 12;N/A;Laser AF, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.6-4.0, 23mm (wide), 1.0""-type, dual pixel PDAF, OIS
48 MP, f/2.1, 93mm (telephoto), PDAF (5cm - ∞), OIS, 4x optical zoom
40 MP, f/2.2, 13mm (ultrawide), AF";4K, 1080p, 1080p@960fps (interpolated), HDR Vivid, gyro-EIS, OIS;N/A;No;256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM;Glazed Black, Glazed White, Glazed Red, Gold;LMR-AL00, LMR-LX9;About 800 EUR;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 66 - International;SA/NSA - China only;N/A;N/A;HSPA, LTE, 5G (China only);GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core;N/A;N/A;EMUI 15 (International), HarmonyOS 5.1 (China);N/A;HDR, panorama;13 MP, f/2.0, (ultrawide), AF;4K, 1080p, 1080p@240fps, HDR Vivid, gyro-EIS;N/A;No;Yes, with stereo speakers
6;Huawei;Huawei Mate 70 Pro+;https://www.gsmarena.com/huawei_mate_70_pro+-13517.php;N/A;N/A;"100W wired
80W wireless
20W reverse wireless
18W reverse wired";Si/C Li-Ion 5700 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 6m for 30 min)";Glass front, titanium alloy frame;164.6 x 79.5 x 8.3 mm (6.48 x 3.13 x 0.33 in);Nano-SIM + Nano-SIM;226 g (7.97 oz);N/A;5.2, A2DP, LE, L2HC;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC;No;USB Type-C 3.1, OTG, DisplayPort 1.2;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;Huawei Kunlun Glass 2;1316 x 2832 pixels, 19.5:9 ratio (~453 ppi density);6.9 inches, 117.4 cm2 (~89.7% screen-to-body ratio);LTPO OLED, 1B colors, 120Hz, 2500 nits (peak);N/A;N/A;N/A;N/A;BDS Satellite Calling and Messaging - China only;Face ID, fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass;2024, November 26;Available. Released 2024, November 26;N/A;Laser AF, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, OIS
48 MP, f/2.1, 93mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom
40 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF";4K, 1080p, HDR, gyro-EIS, OIS;N/A;No;512GB 16GB RAM, 1TB 16GB RAM;Black, Gray, White, Green;PLA-AL10;About 1120 EUR;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.5 GHz Taishan Big & 3x2.15 GHz Taishan Mid & 4x1.53GHz Cortex-A510);Kirin 9020;Maleoon 920;HarmonyOS 4.3;N/A;HDR, panorama;"13 MP, f/2.4, 18mm (ultrawide)
TOF 3D, (depth/biometrics sensor)";4K, 1080p, HDR, gyro-EIS;High-definition audio;No;Yes, with stereo speakers
7;Huawei;Huawei nova 14 Ultra;https://www.gsmarena.com/huawei_nova_14_ultra_5g-13877.php;N/A;N/A;"100W wired, SCP, UFCS, PD, PPS, QC
5W reverse wired";5500 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min)";N/A;163.4 x 75.6 x 7.8 mm (6.43 x 2.98 x 0.31 in);Nano-SIM + Nano-SIM;204 g (7.20 oz);N/A;5.2, A2DP, LE, L2HC (320-960 kbps HD audio);Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;Kunlun Glass;1272 x 2860 pixels, 20:9 ratio (~460 ppi density);6.81 inches, 111.1 cm2 (~89.9% screen-to-body ratio);LTPO3 OLED, 1B colors, HDR, 120Hz, 5500 nits (peak);N/A;N/A;N/A;N/A;"Virtual proximity sensing
BDS Satellite Calling and Messaging - China only";Fingerprint (under display, optical), accelerometer, gyro, compass;2025, May 19;Available. Released 2025, May 19;N/A;Laser AF, color spectrum sensor, Dual-LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.4-4.0, 24mm (wide), PDAF, OIS
50 MP, f/2.2, 88mm (periscope telephoto), PDAF, OIS, 3.7x optical zoom
13 MP, f/2.2, 13mm, 120˚ (ultrawide), AF";4K, 1080p, gyro-EIS, HDR Vivid;N/A;No;256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM;Black, White, Purple, Gold;MRT-AL10;About 520 EUR;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.29 GHz & 3x2.05 GHz & 4x1.3 GHz);Kirin 8020;Maleoon 920 2cu;HarmonyOS 5.0;"8 MP, f/2.2, 52mm (telephoto), AF, 2x optical zoom
50 MP, f/2.0, (ultrawide), 1/2.5"", Dual Pixel PDAF";HDR, panorama;N/A;4K, 1080p, gyro-EIS, HDR Vivid;N/A;No;Yes, with stereo speakers
8;Huawei;Huawei Watch GT 5;https://www.gsmarena.com/huawei_watch_gt_5-13350.php;N/A;N/A;Wireless;Li-Ion 524 mAh;"IP69K dust tight and water resistant (high pressure water jets; immersible up to 50m/5ATM for 10 min)";Glass front, stainless steel frame;45.8 x 45.8 x 10.7 mm (1.80 x 1.80 x 0.42 in);No;35 g or 48 g (1.23 oz);No;5.2, A2DP, LE;N/A;Yes;GPS (L1+L5), BDS (B1I+B1c), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS;No;No;No;N/A;N/A;466 x 466 pixels (~326 ppi density);1.43 inches;AMOLED;N/A;N/A;N/A;N/A;N/A;Accelerometer, gyro, heart rate, barometer, compass, SpO2, thermometer (body temperature);2024, September 19;Available. Released 2024, September 19;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Unspecified;Black, Blue, Brown, White, Gold;VLI-B19;$ 160.00 / € 184.12;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;HarmonyOS 5.0;N/A;N/A;N/A;N/A;N/A;No;Yes
9;Huawei;Huawei nova 11;https://www.gsmarena.com/huawei_nova_11-12234.php;N/A;N/A;"66W wired, 100% in 31 min
Reverse wired";Li-Po 4500 mAh;N/A;N/A;161.3 x 75 x 6.9 mm (6.35 x 2.95 x 0.27 in);Nano-SIMNano-SIM + Nano-SIM;168 g (5.93 oz);N/A;5.2, A2DP, LE;N/A;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct;N/A;Kunlun Glass;1084 x 2412 pixels, 20:9 ratio (~391 ppi density);6.7 inches, 110.5 cm2 (~91.4% screen-to-body ratio);OLED, 1B colors, HDR10, 120Hz;N/A;N/A;N/A;N/A;Virtual proximity sensing;Fingerprint (under display, optical), accelerometer, gyro, compass;2023, April 17;Available. Released 2023, April 27;"50 MP, f/1.9, (wide), PDAF
8 MP, f/2.2, 112˚ (ultrawide)";Color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;N/A;4K, 1080p, 720p@960fps, gyro-EIS;N/A;No;128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;Black, Green, White, Gold;FOA-AL00, FOA-LX9;About 310 EUR;1, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41 - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66 - International;N/A;N/A;N/A;HSPA, LTE;GSM / CDMA / HSPA / CDMA2000 / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670);Qualcomm SM7325 Snapdragon 778G 4G (6 nm);Adreno 642L;HarmonyOS 3.0;60 MP, f/2.4, 100˚ (ultrawide);HDR;N/A;4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers
10;Huawei;Huawei nova 13 Pro;https://www.gsmarena.com/huawei_nova_13_pro-13465.php;N/A;N/A;"100W wired, 3-50% in 9 min
5W reverse wired";5000 mAh;IP65 dust tight and water resistant (low pressure water jets);N/A;163.4 x 74.9 x 7.8 mm (6.43 x 2.95 x 0.31 in);Nano-SIM + Nano-SIM;209 g (7.37 oz);N/A;5.2, A2DP, LE, L2HC (320-960 kbps HD audio);Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Aluminosilicate glass;1224 x 2776 pixels (~449 ppi density);6.76 inches, 108.8 cm2 (~88.9% screen-to-body ratio);LTPO OLED, 1B colors, HDR, 120Hz;N/A;N/A;N/A;N/A;"BDS Satellite Calling and Messaging - China only
Virtual proximity sensing";Fingerprint (under display, optical), accelerometer, gyro, compass;2024, October 22;Available. Released 2024, October 25;N/A;Laser AF, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.4-4.0, 23mm (wide), PDAF, OIS
12 MP, f/2.4, 69mm (telephoto), PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), AF";4K, 1080p, gyro-EIS;N/A;No;256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM;Black, White, Purple, Green;MIS-AL00;€ 499.00;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;HarmonyOS 4.2;"8 MP, f/2.2, 52mm (telephoto), AF, 2x optical zoom
60 MP, f/2.4, 17mm, 100˚ (ultrawide), AF";HDR, panorama;N/A;4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers
