No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;Motorola;Motorola Razr 2025;https://www.gsmarena.com/motorola_razr_2025-13824.php;N/A;N/A;"30W wired
15W wireless";Si/C Li-Ion 4500 mAh;IP48 water resistant (up to 1.5m for 30 min);Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), silicone polymer back (eco leather), aluminum frame (6000 series), hinge (stainless steel);Unfolded: 171.3 x 74 x 7.3 mmFolded: 88.1 x 74 x 15.9 mm;Nano-SIM + eSIM;188 g (6.63 oz);5.4, A2DP, LE;Yes;GPS, GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6 or 6e, dual-band or tri-band (region dependent);"Second external AMOLED, 1B colors, 90Hz, HDR10+, 1700 nits (peak)
3.6 inches, 1056 x 1066 pixels, 413 ppi, Gorilla Glass Victus";N/A;1080 x 2640 pixels (~413 ppi density);6.9 inches, 107.6 cm2 (~84.9% screen-to-body ratio);Foldable LTPO AMOLED, 1B colors, 120Hz, HDR10+, 3000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer (NA only);2025, April 24;Available. Released 2025, May 15;"50 MP, f/1.7, 25mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS
13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF";LED flash, panorama, HDR, Pantone Validated Colour and Skin Tones;N/A;N/A;4K@30fps, 1080p@30/60/120fps, gyro-EIS;UFS 2.2;No;256GB 8GB RAM;Pantone: Gibraltar Sea, Spring Bud, Lightest Sky, Parfait Pink;N/A;$ 334.99;N/A;N/A;N/A;GSM 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71;1, 2, 3, 5, 7, 12, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 48, 66, 70, 71, 77, 78 SA/NSA/Sub6;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;Active use score 9:28h;N/A;N/A;1189 nits max brightness (measured);-24.2 LUFS (Very good);"AnTuTu: 676899 (v10)
GeekBench: 2974 (v6)
3DMark: 1020 (Wild Life Extreme)";Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7400X (4 nm);Mali-G615 MC2;Android 15;HDR;"32 MP, f/2.4, 25mm (wide), 1/3.14"", 0.7µm";4K@30fps, 1080p@30/60fps;N/A;No;Yes, with stereo speakers (with Dolby Atmos)
2;Motorola;Motorola Edge 40;https://www.gsmarena.com/motorola_edge_40-12204.php;N/A;N/A;"68W wired
15W wireless";Li-Po 4400 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front, aluminum frame, plastic back or eco leather back;158.4 x 72 x 7.6 mm (6.24 x 2.83 x 0.30 in);Nano-SIMNano-SIM + eSIMNano-SIM + Nano-SIM;167 g or 171 g (5.89 oz);5.2, A2DP, LE;Yes;GPS, GLONASS, GALILEO, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~402 ppi density);6.55 inches, 103.6 cm2 (~90.8% screen-to-body ratio);P-OLED, 144Hz, HDR10+, 1200 nits (peak);N/A;N/A;N/A;N/A;Smart Connect (Ready For) support;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, May 04;Available. Released 2023, May 04;"50 MP, f/1.4, (wide), 1/1.55"", 1.0µm, multi-directional PDAF, OIS
13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF";Dual-LED flash, HDR, panorama;N/A;N/A;4K@30fps, 1080p@30/60/120fps, 720p@960fps, HDR10, gyro-EIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM;Nebula Green, Lunar Blue, Eclipse Black, Viva Magenta;XT2303-2;$ 419.99 / € 189.71 / £ 199.00 / ₹ 28,999;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 39, 40, 41, 42, 43, 66;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;N/A;Endurance rating 98h;Photo / Video;1043 nits max brightness (measured);-24.2 LUFS (Very good);"AnTuTu: 688347 (v9)
GeekBench: 3320 (v5.1), 3603 (v6)
GFXBench: 33fps (ES 3.1 onscreen)";Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 8020 (6 nm);Mali-G77 MC9;Android 13, up to 2 major Android upgrades;HDR;"32 MP, f/2.4, (wide), 1/3.0"", 0.7µm";4K@30fps, 1080p@30/120fps;N/A;No;Yes, with stereo speakers
3;Motorola;Motorola Moto G55;https://www.gsmarena.com/motorola_moto_g55-13278.php;N/A;N/A;30W wired;Li-Po 5000 mAh;Water repellent design;Glass front (Gorilla Glass 5), plastic frame, plastic back or silicone polymer (eco leather) back;161.6 x 73.8 x 8.1 mm (6.36 x 2.91 x 0.32 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;179 g or 182 g (6.31 oz);5.3, A2DP, LE;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 5, Mohs level 4;1080 x 2400 pixels, 20:9 ratio (~405 ppi density);6.49 inches, 102.2 cm2 (~85.7% screen-to-body ratio);IPS LCD, 120Hz;52:04h endurance, 800 cycles;Class B;Class B (180 falls);Class B;Smart Connect support;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, August 29;Available. Released 2024, September 06;"50 MP, f/1.8 (wide), 0.61µm, PDAF, OIS
8 MP, f/2.2, 118˚ (ultrawide), 1.12µm, AF";LED flash, HDR, panorama;N/A;N/A;1080p@30/60fps;N/A;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Forest Grey, Smoky Green, Twilight Purple;XT2435-2;$ 195.00 / € 155.92 / £ 142.00;N/A;N/A;1, 2, 3, 5, 7, 26, 28, 40, 66, 78 SA/NSA - LATAM;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100 - International;1, 2, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41, 42, 66 - International;1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7025 (6 nm);IMG BXM-8-256;Android 14;HDR;16 MP, f/2.4, (wide), 1.0µm;1080p@30fps;N/A;Yes;Yes, with stereo speakers
4;Motorola;Motorola Moto G86 Power;https://www.gsmarena.com/motorola_moto_g86_power_5g-13918.php;N/A;N/A;30W wired;6720 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front (Gorilla Glass 7i), plastic frame, silicone polymer (eco leather) back;161.2 x 74.7 x 8.7 mm (6.35 x 2.94 x 0.34 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;195 or 198 g (6.98 oz);5.4, A2DP, LE;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Corning Gorilla Glass 7i;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~89.2% screen-to-body ratio);P-OLED, 1B colors, 120Hz, HDR10+, 4500 nits peak;N/A;N/A;N/A;N/A;Smart Connect support;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, May 29;Available. Released 2025, July 30;"50 MP, f/1.9, 25mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS
8 MP, f/2.2, 12mm, 118˚ (ultrawide), 1.12µm, AF";LED flash, HDR, panorama;N/A;N/A;4K@30/60fps, 1080p@30/60/120fps, gyro-EIS;N/A;microSDXC (dedicated slot);128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM;Pantone: Spellbound, Golden Cypress, Cosmic Sky, Chrysanthemum;N/A;$ 472.00 / ₹ 16,599;N/A;N/A;1, 3, 5, 8, 28, 41, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100 - International;1, 2, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41, 42, 71 - EMEA & AP;1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 71, 77, 78 SA/NSA/Sub6 - EMEA & AP;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55) - India;Mediatek Dimensity 7300 (4 nm) - GlobalMediatek Dimensity 7400 (4 nm) - India;Mali-G615 MC2;Android 15, up to 2 major Android upgrades;HDR;32 MP, f/2.2, (wide), 0.7µm;4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers (with Dolby Atmos)
5;Motorola;Motorola ThinkPhone;https://www.gsmarena.com/motorola_thinkphone-12059.php;N/A;N/A;"68W wired
15W wireless";Li-Po 5000 mAh;"IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
Drop resistant up to 1.3m
MIL-STD-810H compliant";Glass front (Gorilla Glass Victus), aramid fibre back, aluminum frame;158.8 x 74.4 x 8.3 mm (6.25 x 2.93 x 0.33 in);Nano-SIMNano-SIM + Nano-SIM;188.5 g (6.67 oz);5.2, A2DP, LE, aptX HD, aptX Adaptive;Yes;GPS, GLONASS, GALILEO;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus;1080 x 2400 pixels, 20:9 ratio (~399 ppi density);6.6 inches, 105.2 cm2 (~89.0% screen-to-body ratio);P-OLED, 1B colors, 144Hz, HDR10+;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer (North America only);2023, January 05;Available. Released 2023, January 29;N/A;LED flash, panorama, HDR;N/A;"50 MP, f/1.8, (wide), 1/1.5"", 1.0µm, multi-directional PDAF, OIS
13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF
2 MP, f/2.4, (depth)";8K@30fps, 4K@30/60fps, 4K@30fps HDR10, 1080p@30/60/120/240/960fps, gyro-EIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Carbon Black;XT2309-2;$ 580.00 / € 219.90;N/A;N/A;1, 2, 3, 5, 7, 8, 20, 28, 38, 41, 66, 77, 78 SA/NSA/Sub6 - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - ROW;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 38, 39, 40, 41, 42, 43, 48, 66 - ROW;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - ROW;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;N/A;Endurance rating 116h;Photo / Video;1069 nits max brightness (measured);-21.6 LUFS (Excellent);"AnTuTu: 1081805 (v9)
GeekBench: 4207 (v5.1)
GFXBench: 90fps (ES 3.1 onscreen)";Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);Adreno 730;Android 13, upgradable to Android 14;HDR;"32 MP, f/2.5, (wide), 1/3.0"", 0.7µm - ROW model
16 MP, f/2.0, (wide), 1.0µm - PRC model";4K@30fps, 1080p@30/60fps;Snapdragon Sound;No;Yes, with stereo speakers
6;Motorola;Motorola Moto G56;https://www.gsmarena.com/motorola_moto_g56_5g-13841.php;N/A;N/A;30W wired;5200 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
Drop resistant up to 1.2m
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front (Gorilla Glass 7i), plastic frame, silicone polymer (eco leather) back;165.8 x 76.3 x 8.4 mm (6.53 x 3.00 x 0.33 in);Nano-SIMNano-SIM + eSIMNano-SIM + Nano-SIM;200 g (7.05 oz);5.3, A2DP, LE;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 7i, Mohs level 6;1080 x 2400 pixels, 20:9 ratio (~392 ppi density);6.72 inches, 109.0 cm2 (~86.2% screen-to-body ratio);IPS LCD, 120Hz;49:00h endurance, 1000 cycles;Class B;Class A (270 falls);Class A;Smart Connect support;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2025, May 29;Available. Released 2025, May 29;"50 MP, f/1.8, 25mm (wide), 1/1.95"", 0.8µm, PDAF
8 MP, f/2.2, 12mm, 118˚ (ultrawide), 1.12µm";LED flash, HDR, panorama;N/A;N/A;1080p@30/60fps;N/A;microSDXC (uses shared SIM slot);128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Pantone: Black Oyster, Gray Mist, Dazzling Blue, Dill;XT2529-2;$ 282.00 / € 207.99;N/A;N/A;1, 2, 3, 5, 7, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA - LATAM;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100 - International;1, 2, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41, 42, 71 - International;1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 71, 75, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7060 (6 nm);IMG BXM-8-256;Android 15;HDR;32 MP, f/2.2, (wide), 0.7µm;Yes;N/A;Yes;Yes, with stereo speakers (with Dolby Atmos)
7;Motorola;Motorola Moto G34;https://www.gsmarena.com/motorola_moto_g34-12759.php;N/A;N/A;18W wired;Li-Po 5000 mAh;Water-repellent design;Glass front, plastic back or silicone polymer (eco leather), plastic frame;162.7 x 74.6 x 8 mm (6.41 x 2.94 x 0.31 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;179 g or 181 g (6.31 oz);5.1, A2DP, LE;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS, QZSS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~270 ppi density);6.5 inches, 102.0 cm2 (~84.0% screen-to-body ratio);IPS LCD, 120Hz;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2023, December 22;Available. Released 2023, December 29;"50 MP, f/1.8 (wide), 0.64µm, PDAF
2 MP, f/2.4, (macro)";LED flash, HDR, panorama;N/A;N/A;1080p@30fps;N/A;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Charcoal Black, Ice Blue, Ocean Green, Vanilla Cream;XT2363-2, XT2363-3;€ 130.00;N/A;N/A;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41, 42 - ЕМЕА;1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 77, 78 SA/NSA - ЕМЕА;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Qualcomm SM6375 Snapdragon 695 5G (6 nm);Adreno 619;Android 13 or Android 14;N/A;16 MP, f/2.4, (wide), 1.0µm;1080p@30fps;Snapdragon Sound;Yes;Yes, with stereo speakers
8;Motorola;Motorola Edge (2021);https://www.gsmarena.com/motorola_edge_(2021)-11061.php;N/A;N/A;30W wired;Li-Po 5000 mAh;Water-repellent design;Glass front, plastic back;169 x 75.6 x 9 mm (6.65 x 2.98 x 0.35 in);Nano-SIM;200 g (7.05 oz);5.2, A2DP, LE, aptX HD, aptX Adaptive;Yes;GPS, GLONASS, GALILEO;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 3;1080 x 2460 pixels (~395 ppi density);6.8 inches, 109.8 cm2 (~85.9% screen-to-body ratio);LCD, 144Hz, HDR10;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;2021, August 19;Available. Released 2021, September 02;N/A;Dual-LED dual-tone flash, HDR, panorama;N/A;"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1.12µm, AF
2 MP, f/2.4, (depth)";4K@30fps, 1080p@30/60/120ps, 720p@960fps, gyro-EIS;N/A;No;256GB 8GB RAM;Nebula Blue;XT2141-1;About 90 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 66, 71;2, 5, 25, 41, 66, 71, 77, 78 SA/NSA/Sub6;HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55);Qualcomm SM7325 Snapdragon 778G 5G (6 nm);Adreno 642L;Android 11, planned upgrade to Android 13;HDR;32 MP, f/2.3, (wide), 0.7µm;4K@30fps, 1080p@30/120fps;Snapdragon Sound;No;Yes
9;Motorola;Motorola Moto G86;https://www.gsmarena.com/motorola_moto_g86_5g-13917.php;N/A;N/A;30W wired;5200 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front (Gorilla Glass 7i), plastic frame, silicone polymer (eco leather) back;161.2 x 74.7 x 7.8 mm (6.35 x 2.94 x 0.31 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;185 g (6.53 oz);5.4, A2DP, LE;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Corning Gorilla Glass 7i, Mohs level 4;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~89.2% screen-to-body ratio);P-OLED, 1B colors, 120Hz, HDR10+, 4500 nits peak;55:44h endurance, 1000 cycles;Class A;Class A (270 falls);Class B;Smart Connect support;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, May 29;Available. Released 2025, July 07;"50 MP, f/1.9, 25mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS
8 MP, f/2.2, 12mm, 118˚ (ultrawide), 1.12µm, AF";LED flash, HDR, panorama;N/A;N/A;4K@30fps, 1080p@30/60/120fps, gyro-EIS;N/A;microSDXC (dedicated slot);256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Pantone: Spellbound, Golden Cypress, Cosmic Sky, Chrysanthemum;XT2527-2;€ 254.99 / £ 270.03;N/A;N/A;1, 3, 5, 8, 28, 41, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100 - International;1, 2, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41, 42, 71 - EMEA & AP;1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 71, 77, 78 SA/NSA/Sub6 - EMEA & AP;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 (4 nm);Mali-G615 MC2;Android 15;HDR;32 MP, f/2.2, (wide), 0.7µm;4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers (with Dolby Atmos)
10;Motorola;Motorola Moto G Power (2024);https://www.gsmarena.com/motorola_moto_g_power_(2024)-12867.php;N/A;N/A;"30W wired
15W wireless";5000 mAh;Water-repellent design;Glass front, silicone polymer back (eco leather), plastic frame;167.2 x 76.4 x 8.5 mm (6.58 x 3.01 x 0.33 in);Nano-SIM + eSIM;201 g (7.09 oz);5.3, A2DP, LE;Yes;GPS, GLONASS, GALILEO;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~393 ppi density);6.7 inches, 108.4 cm2 (~84.8% screen-to-body ratio);IPS LCD, 120Hz;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;2024, March 12;Available. Released 2024, March 22;"50 MP, f/1.8, (wide), 0.64µm, PDAF, OIS
8 MP, f/2.2, 118˚ (ultrawide), 1.12µm, AF";LED flash, HDR, panorama;N/A;N/A;1080p@30fps, gyro-EIS;N/A;microSDXC (dedicated slot);128GB 8GB RAM;Midnight Blue, Pale Lilac;XT2415-3, XT2415V;$ 60.30 / £ 128.26;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71;2, 5, 7, 12, 14, 25, 26, 29, 30, 41, 48, 66, 70, 71, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7020 (6 nm);IMG BXM-8-256;Android 14;HDR;16 MP, f/2.4, (wide), 1.0µm;1080p@30fps;N/A;Yes;Yes, with stereo speakers
