No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Musicplay;Battery_Standby;Battery_Talktime;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Browser;Features_Games;Features_Java;Features_Messaging;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Callrecords;Memory_Cardslot;Memory_Internal;Memory_Phonebook;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Alerttypes;Sound_Loudspeaker
1;Sony;Sony Xperia XA Ultra;https://www.gsmarena.com/sony_xperia_xa_ultra-8102.php;N/A;N/A;N/A;Up to 65 h;Up to 558 h (2G) / Up to 708 h (3G);Up to 13 h (2G) / Up to 12 h (3G);Li-Ion 2700 mAh, non-removable;N/A;Glass front, plastic back, aluminum frame;164 x 79 x 8.4 mm (6.46 x 3.11 x 0.33 in);Nano-SIMNano-SIM + Nano-SIM;202 g (7.13 oz);4.1, A2DP, LE, aptX;N/A;Yes;GPS, GLONASS;FM radio, RDS;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct;N/A;Scratch-resistant glass;1080 x 1920 pixels, 16:9 ratio (~367 ppi density);6.0 inches, 99.2 cm2 (~76.6% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Accelerometer, proximity, compass;2016, May. Released 2016, July;Discontinued;N/A;LED flash, HDR, panorama;"21.5 MP, f/2.2, 1/2.4"", 1/2.4"", PDAF";N/A;1080p@30fps, HDR;eMMC 5.1;N/A;microSDXC (dedicated slot);16GB 3GB RAM;N/A;White, Graphite Black, Lime Gold;F3212, F3216, F3211, F3213, F3215;About 250 EUR;1.27 W/kg (head)     0.37 W/kg (body);0.72 W/kg (head)     0.43 W/kg (body);1, 3, 5, 7, 8, 28, 38, 39, 40, 41 - F3215, F3216;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1900 / 2100 - F3211, F3215, F3212, F3216;1, 2, 3, 5, 7, 8, 20 - F3211, F3212;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;Noise -92.9dB / Crosstalk -92.5dB;N/A;Endurance rating 55h;Photo / Video;Contrast ratio: 1071 (nominal),  2.906 (sunlight);Voice 88dB / Noise 79dB / Ring 82dB;Basemark OS II 2.0: 987Basemark X: 6754;Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mediatek MT6755 Helio P10 (28 nm);Mali-T860MP2;Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat);N/A;N/A;LED flash;"16 MP, f/2.0, 23mm (wide), 1/2.6"", OIS";1080p@30fps;N/A;Yes;N/A;Yes
2;Sony;Sony Xperia E5;https://www.gsmarena.com/sony_xperia_e5-8113.php;N/A;N/A;N/A;Up to 65 h;Up to 511 h (2G) / Up to 518 h (3G);Up to 11 h 30 min (2G) / Up to 9 h 30 min (3G);Li-Po 2300 mAh, non-removable;N/A;N/A;144 x 69 x 8.2 mm (5.67 x 2.72 x 0.32 in);Nano-SIMNano-SIM + Nano-SIM;147 g (5.19 oz);4.1, A2DP, aptX;N/A;Yes;GPS;FM radio;microUSB 2.0;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct;N/A;Scratch-resistant glass;720 x 1280 pixels, 16:9 ratio (~294 ppi density);5.0 inches, 68.9 cm2 (~69.4% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Accelerometer, proximity, compass;2016, May. Released 2016, June;Discontinued;N/A;LED flash, HDR, panorama;13 MP, f/2.0, AF;N/A;1080p@30fps;N/A;N/A;microSDXC (dedicated slot);16GB 1.5GB RAM;N/A;Graphite Black, White;F3311, F3313, C1604;About 120 EUR;1.08 W/kg (head)     1.34 W/kg (body);0.46 W/kg (head)     0.46 W/kg (body);2, 4, 5, 7, 12, 17, 28 - F3313;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1900 / 2100 - F3311;1, 2, 3, 5, 7, 8, 20 - F3311;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;Noise -92.3dB / Crosstalk -91.9dB;N/A;Endurance rating 47h;Photo / Video;Contrast ratio: 	1243 (nominal),  2.386 (sunlight);Voice 62dB / Noise 67dB / Ring 69dB;Basemark OS II 2.0: 575;Quad-core 1.3 GHz Cortex-A53;Mediatek MT6735 (28 nm);Mali-T720MP2;Android 6.0 (Marshmallow);N/A;N/A;N/A;5 MP, f/2.4;;N/A;Yes;N/A;Yes
3;Sony;Sony Xperia 5 II;https://www.gsmarena.com/sony_xperia_5_ii-10396.php;N/A;N/A;21W wired, PD3.0, 50% in 30 min;N/A;N/A;N/A;Li-Ion 4000 mAh;"IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min)";Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame;158 x 68 x 8 mm (6.22 x 2.68 x 0.31 in);Nano-SIMNano-SIM + Nano-SIM;163 g (5.75 oz);5.1, A2DP, aptX HD, LE;N/A;Yes;GPS, GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA;"Triluminos display
X-Reality Engine";Corning Gorilla Glass 6;1080 x 2520 pixels, 21:9 ratio (~449 ppi density);6.1 inches, 86.9 cm2 (~80.9% screen-to-body ratio);OLED, 120Hz, HDR BT.2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass;2020, September 17;Available. Released 2020, October 12;N/A;Zeiss optics, color spectrum sensor, LED flash, panorama, HDR, eye tracking;N/A;"12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, dual pixel PDAF, OIS
12 MP, f/2.4, 70mm (telephoto), 1/3.4"", 1.0µm, PDAF, 3x optical zoom, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", dual pixel PDAF";4K@24/30/60/120fps HDR, 1080p, 5-axis gyro-EIS, OIS;UFS 3.0;N/A;microSDXC (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM;N/A;Black, Grey, Blue, Pink;SO-52A, XQ-AS52, XQ-AS62, XQ-AS72, A002SO, SOG02;About 650 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 48, 66;1, 3, 8, 28, 77, 78 SA/NSA;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;Endurance rating 102h;Photo / Video;600 nits max brightness (measured);-28.3 LUFS (Average);"AnTuTu: 532655 (v8)
GeekBench: 3301 (v5.1)
GFXBench: 41fps (ES 3.1 onscreen)";Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55);Qualcomm SM8250 Snapdragon 865 5G (7 nm+);Adreno 650;Android 10, upgradable to Android 12;N/A;N/A;HDR;"8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm";1080p@30fps, 5-axis gyro-EIS;"24-bit/192kHz Hi-Res audio
Dynamic vibration system";Yes;N/A;Yes, with stereo speakers
4;Sony;Sony Xperia Z Ultra;https://www.gsmarena.com/sony_xperia_z_ultra-5540.php;N/A;N/A;N/A;Up to 120 h;Up to 790 h (2G) / Up to 820 h (3G);Up to 14 h (2G) / Up to 16 h (3G);Li-Ion 3050 mAh, non-removable;IP58 dust/water resistant (up to 1.5m for 30 min);N/A;179.4 x 92.2 x 6.5 mm (7.06 x 3.63 x 0.26 in);Micro-SIM;212 g (7.48 oz);4.0, A2DP, aptX;N/A;Yes;GPS, GLONASS;Stereo FM radio, RDS;microUSB 2.0 (MHL TV-out), OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot;"Triluminos display
X-Reality Engine";Shatter proof glass;1080 x 1920 pixels, 16:9 ratio (~344 ppi density);6.4 inches, 112.9 cm2 (~68.3% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;ANT+;N/A;N/A;N/A;N/A;Accelerometer, gyro, proximity, compass;2013, June. Released 2013, July;Discontinued;N/A;HDR;8 MP, f/2.4, AF;N/A;1080p@30fps, HDR;eMMC 4.5;N/A;microSDXC (dedicated slot);16GB 2GB RAM;N/A;Black, White, Purple;C6833, C6802, C6806, C6806;About 280 EUR;1.01 W/kg (head)     1.54 W/kg (body);0.34 W/kg (head);1, 2, 3, 4, 5, 7, 8, 20 - C6833;GSM 850 / 900 / 1800 / 1900 - all versions;HSDPA 850 / 900 / 1700 / 1900 / 2100 - all versions;1, 2, 4, 5, 7, 8, 17 - C6806;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;Noise -92.5dB / Crosstalk -90.7dB;N/A;Endurance rating 52h;Photo / Video;Contrast ratio: 1001:1 (nominal) / 1.578:1 (sunlight);Voice 63dB / Noise 60dB / Ring 59dB;Basemark X: 11606;Quad-core 2.2 GHz Krait 400;Qualcomm MSM8274 or MSM8974 Snapdragon 800 (28 nm);Adreno 330;Android 4.2 (Jelly Bean), upgradable to 5.1 (Lollipop);N/A;N/A;N/A;2 MP;1080p@30fps;N/A;Yes;N/A;Yes
5;Sony;Sony Ericsson Xperia Arc S;https://www.gsmarena.com/sony_ericsson_xperia_arc_s-4134.php;N/A;N/A;N/A;Up to 37 h;Up to 460 h (2G) / Up to 460 h (3G);Up to 7 h 25 min (2G) / Up to 7 h 35 min (3G);Removable Li-Po 1500 mAh battery;N/A;N/A;125 x 63 x 8.7 mm (4.92 x 2.48 x 0.34 in);Mini-SIM;117 g (4.13 oz);2.1, A2DP, EDR;N/A;N/A;"GPS, A-GPS; GLONASS";Stereo FM radio, RDS;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, DLNA, hotspot;N/A;Scratch-resistant glass;480 x 854 pixels, 16:9 ratio (~233 ppi density);4.2 inches, 48.6 cm2 (~61.7% screen-to-body ratio);LED-backlit LCD,;N/A;N/A;N/A;N/A;"ANT+
HDMI port
MP4/H.264/WMV player
MP3/eAAC+/WMA/WAV player
TrackID music recognition
NeoReader barcode scanner
Document viewer
Voice memo/dial/commands
Predictive text input";N/A;N/A;N/A;N/A;Accelerometer, proximity, compass;2011, August. Released 2011, September;Discontinued;N/A;LED flash, panorama;8 MP, AF;N/A;720p@30fps;N/A;N/A;microSDHC (dedicated slot), 8 GB included;1GB (320MB user available), 512MB RAM;N/A;Pure White, Midnight Blue, Misty Silver, Gloss Black, Sakura Pink;N/A;About 210 EUR;N/A;0.66 W/kg (head);HSDPA 850 / 1900 / 2100 / 800  - LT18a;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100  - LT18i;N/A;N/A;N/A;N/A;HSPA 14.4/5.76 Mbps;GSM / HSPA;Noise -89.3dB / Crosstalk -90.2dB;N/A;N/A;Photo / Video;N/A;Voice 67dB / Noise 65dB / Ring 76dB;N/A;1.4 GHz Scorpion;Qualcomm MSM8255T Snapdragon S2;Adreno 205;Android 2.3.4 (Gingerbread), 4.0.4 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean);No;N/A;N/A;N/A;N/A;N/A;Yes;N/A;Yes
6;Sony;Sony Xperia 10 II;https://www.gsmarena.com/sony_xperia_10_ii-10095.php;N/A;N/A;18W wired, PD, QC3;N/A;N/A;N/A;Li-Po 3600 mAh;"IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min)";Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), plastic frame;157 x 69 x 8.2 mm (6.18 x 2.72 x 0.32 in);Nano-SIMNano-SIM + Nano-SIM;151 g (5.33 oz);5.0, A2DP, LE, aptX HD;N/A;Yes;GPS, GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 6;1080 x 2520 pixels, 21:9 ratio (~457 ppi density);6.0 inches, 84.1 cm2 (~77.6% screen-to-body ratio);OLED;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2020, February 24;Available. Released 2020, May 05;N/A;LED flash, HDR, panorama;N/A;"12 MP, f/2.0, 26mm (wide), 1/2.8"", PDAF
8 MP, f/2.4, 52mm (telephoto), 1/4.0"", PDAF, 2x optical zoom
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0""";4K@30fps, 1080p@30fps;N/A;N/A;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM;N/A;Black, White, Mint Green, Berry Blue;XQ-AU51, XQ-AU52, SO-41A;About 700 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 2100;1, 3, 4, 5, 7, 8, 12, 20, 28, 38, 39, 40, 41;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat11 600/75 Mbps;GSM / HSPA / LTE;N/A;N/A;Endurance rating 92h;Photo / Video;520 nits max brightness (measured);-28.8 LUFS (Average);"AnTuTu: 196545 (v8)
GeekBench: 5679 (v4.4), 1413 (v5.1)
GFXBench: 5.6fps (ES 3.1 onscreen)";Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Qualcomm SDM665 Snapdragon 665 (11 nm);Adreno 610;Android 10, upgradable to Android 12;N/A;N/A;HDR;"8 MP, f/2.0, 24mm (wide), 1/4.0""";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;N/A;Yes
7;Sony;Sony Xperia 10 IV;https://www.gsmarena.com/sony_xperia_10_iv-11522.php;N/A;N/A;21W wired (unofficial rating), PD, QC;N/A;N/A;N/A;Li-Po 5000 mAh;"IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min)";Glass front (Gorilla Glass Victus), plastic frame, plastic back;153 x 67 x 8.3 mm (6.02 x 2.64 x 0.33 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;161 g (5.68 oz);5.1, A2DP, LE, aptX HD, aptX Adaptive;N/A;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;Triluminos display;Corning Gorilla Glass Victus;1080 x 2520 pixels, 21:9 ratio (~457 ppi density);6.0 inches, 84.1 cm2 (~82.0% screen-to-body ratio);OLED, 1B colors, HDR;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2022, May 11;Available. Released 2022, June 30;N/A;LED flash, HDR, panorama;N/A;"12 MP, f/1.8, 27mm (wide), 1/2.8"", PDAF, OIS
8 MP, f/2.2, 54mm (telephoto), 1/4.4"", PDAF, 2x optical zoom
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0""";1080p@30fps;UFS;N/A;microSDXC (uses shared SIM slot);128GB 6GB RAM;N/A;Black, White, Mint, Lavender;XQ-CC54, XQ-CC72, SOG07;$ 179.00 / € 189.00 / £ 239.99;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 2100;1, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41;1, 3, 7, 8, 28, 38, 41, 77, 78, 79 SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;Endurance rating 163h;Photo / Video;683 nits max brightness (measured);-30.6 LUFS (Below average);"AnTuTu: 396008 (v9)
GeekBench: 1908 (v5.1)
GFXBench: 16fps (ES 3.1 onscreen)";Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Qualcomm SM6375 Snapdragon 695 5G (6 nm);Adreno 619;Android 12, upgradable to Android 14;N/A;N/A;HDR;"8 MP, f/2.0, 27mm (wide), 1/4.0""";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;N/A;Yes
8;Sony;Sony Ericsson W810;https://www.gsmarena.com/sony_ericsson_w810-1402.php;N/A;N/A;N/A;N/A;Up to 350 h;Up to 8 h;Removable Li-Po 900 mAh battery (BST-37);N/A;N/A;100 x 46 x 19.5 mm (3.94 x 1.81 x 0.77 in);Mini-SIM;99 g (3.49 oz);2.0;Yes;N/A;No;Stereo FM radio, RDS;2.0;No;Wallpapers, screensavers;N/A;176 x 220 pixels (~148 ppi density);1.9 inches, 30 x 38 mm, 11.4 cm2 (~24.7% screen-to-body ratio);TFT, 256K colors;N/A;N/A;N/A;N/A;"MP3/AAC/MP4 player
Video player
Predictive text input
Photo editor
Organizer
Voice memo
SyncML";WAP 2.0/xHTML, HTML (NetFront);Yes + downloadable;Yes;SMS, MMS, Email, Instant Messaging;;2006, Q1;Discontinued;N/A;LED flash;2 MP, AF;N/A;Yes;N/A;30 received, dialed and missed calls;Memory Stick Duo Pro, up to 4 GB, 512 MB included;20MB;1000 x 24 fields, Photo call;Satin Black, Fusion White;N/A;About 130 EUR;1.04 W/kg (head)     0.86 W/kg (body);0.99 W/kg (head);N/A;GSM 850 / 900 / 1800 / 1900;N/A;N/A;N/A;Class 10;Class 10;N/A;GSM;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;No;"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer";Yes
9;Sony;Sony Ericsson K800;https://www.gsmarena.com/sony_ericsson_k800-1485.php;N/A;N/A;N/A;N/A;Up to 350 h (2G) / Up to 350 h (3G);Up to 7 h (2G) / Up to 2 h 30 min (3G);Removable Li-Po 900 mAh battery (BST-33);N/A;N/A;105 x 47 x 22 mm (4.13 x 1.85 x 0.87 in);Mini-SIM;115 g (4.06 oz);2.0, A2DP;Yes;N/A;No;Stereo FM radio, RDS;2.0;No;Wallpapers, screensavers;N/A;240 x 320 pixels, 2.0 inch, 4:3 ratio (~200 ppi density);2.0 inches, 30 x 40 mm, 12.4 cm2 (~25.1% screen-to-body ratio);TFT, 256K colors;N/A;N/A;N/A;N/A;"MP3/AAC/MP4 player
Predictive text input
Photo editor
Organizer
Voice memo/dial";WAP 2.0/xHTML, HTML(NetFront);FotoQuestFishing, MiniGolf + downloadable;Yes, MIDP 2.0;SMS, MMS, Email, Instant Messaging;;2006, February. Released 2006, June;Discontinued;N/A;xenon flash;3.15 MP, AF;N/A;QCIF;N/A;30 received, dialed and missed calls;Memory Stick Micro (M2), up to 2 GB;64MB;1000 x 20 fields, Photo call;Velvet Black, Allure Brown;N/A;About 150 EUR;N/A;N/A;N/A;GSM 900 / 1800 / 1900;UMTS 2100;N/A;N/A;N/A;N/A;Yes, 384 kbps;GSM / UMTS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;VGA videocall camera;;N/A;No;"Vibration; Downloadable polyphonic, MP3 ringtones, composer";Yes
10;Sony;Sony Xperia XZs;https://www.gsmarena.com/sony_xperia_xzs-8599.php;N/A;N/A;18W wired, QC3;N/A;N/A;N/A;Li-Ion 2900 mAh, non-removable;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass 5), aluminum back, plastic frame;146 x 72 x 8.1 mm (5.75 x 2.83 x 0.32 in);Nano-SIM (G8231)Nano-SIM + Nano-SIM (G8232);161 g (5.68 oz);4.2, A2DP, aptX, LE;N/A;Yes;GPS, GLONASS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA;"Triluminos display
X-Reality Engine";Corning Gorilla Glass 5;1080 x 1920 pixels, 16:9 ratio (~424 ppi density);5.2 inches, 74.5 cm2 (~70.9% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted, region dependent), accelerometer, gyro, proximity, barometer, compass;2017, February 27. Released 2017, April 03;Discontinued;N/A;Laser AF, color spectrum sensor, LED flash, HDR, panorama;"19 MP, f/2.0, 25mm (wide), 1/2.3"", predictive PDAF";N/A;4K@30fps, 1080p@30fps (gyro-EIS), 720p@960fps, HDR;eMMC 5.1;N/A;microSDXC (uses shared SIM slot) - dual SIM model only;32GB 4GB RAM, 64GB 4GB RAM;N/A;Black, Warm Silver, Ice Blue;G8232, G8231, SOV35, 602SO, SO-03J;About 220 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (G8232);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - G8231, G8232;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 38, 39, 40, 41 - G8231, G8232;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat9 450/50 Mbps;GSM / HSPA / LTE;Noise -93.5dB / Crosstalk -92.7dB;N/A;Endurance rating 73h;Photo / Video;Contrast ratio: 1223:1 (nominal), 3.818 (sunlight);Voice 62dB / Noise 65dB / Ring 73dB;"AnTuTu: 170766 (v8)
GeekBench: 808 (v5.1)
GFXBench: 21fps (ES 3.1 onscreen)";Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo);Qualcomm MSM8996 Snapdragon 820 (14 nm);Adreno 530;Android 7.1 (Nougat), upgradable to Android 8.0 (Oreo);N/A;N/A;N/A;"13 MP, f/2.0, 22mm (wide), 1/3.1"", 1.12µm";1080p@30fps;24-bit/192kHz audio;Yes;N/A;Yes, with stereo speakers
