No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;Tecno;Tecno Pop 9;https://www.gsmarena.com/tecno_pop_9-13358.php;N/A;N/A;18W wired;5000 mAh;IP54 dust protected and water resistant (water splashes);Glass front, plastic back, plastic frame;165 x 77 x 8 mm (6.50 x 3.03 x 0.31 in);Nano-SIM + Nano-SIM;189 g (6.67 oz);Yes;Yes;Yes;GPS;Unspecified;USB Type-C;Yes;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~267 ppi density);6.6 inches, 104.6 cm2 (~82.4% screen-to-body ratio);IPS LCD, 120Hz;N/A;"Fingerprint (side-mounted); unspecified sensors";2024, September 24;Available. Released 2024, October 08;N/A;Dual-LED flash, HDR;N/A;"48 MP, (wide), 1/2.0"", 0.8µm, AF
Auxiliary lens";N/A;1080p@30fps;N/A;microSDXC;64GB 4GB RAM, 128GB 4GB RAM;Aurora Cloud, Azure Sky, Midnight Shadow;KL4;₹ 7,799;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;LTE;SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 14;Dual-LED flash;8 MP;Yes;N/A;Yes;Yes, with dual speakers
2;Tecno;Tecno Spark 40C;https://www.gsmarena.com/tecno_spark_40c-14052.php;N/A;N/A;18W wired;6000 mAh;"IP64 dust tight and water resistant (water splashes)
Drop resistant up to 1.5m";Glass front, plastic back, plastic frame;165.6 x 77 x 8.4 mm (6.52 x 3.03 x 0.33 in);Nano-SIM + Nano-SIM;-;Yes;Yes;No;GPS;FM radio;USB Type-C, OTG;Yes;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~263 ppi density);6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio);IPS LCD, 120Hz;N/A;"Fingerprint (side-mounted); unspecified sensors";2025, July 19;Available. Released 2025, August;N/A;Dual-LED flash, HDR;N/A;13 MP, f/1.8, 27mm (wide), PDAF;N/A;1080p@30fps;N/A;Unspecified;128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Veil White, Ripple Blue, Titanium Grey, Ink Black;KM4k;About 90 EUR;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G81 (12 nm);Mali-G52 MC2;Android 15, HIOS 15.1;N/A;8 MP;Yes;N/A;Yes;Yes, with dual speakers
3;Tecno;Tecno Pova 4;https://www.gsmarena.com/tecno_pova_4-11926.php;N/A;N/A;18W wired;6000 mAh;N/A;Glass front, plastic frame, plastic back;170.6 x 77.5 x 8.7 mm (6.72 x 3.05 x 0.34 in);Nano-SIM + Nano-SIM;214 g (7.55 oz);Yes;N/A;Yes;GPS;FM radio;USB Type-C 2.0, OTG;Yes;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~257 ppi density);6.82 inches, 112.3 cm2 (~84.9% screen-to-body ratio);IPS LCD, 90Hz;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2022, October 10;Available. Released 2022, October 10;N/A;Dual LED flash;N/A;"50 MP, (wide), PDAF
0.08 MP (auxiliary lens)";N/A;1440p@30fps, 1080p@30fps;N/A;microSDXC (dedicated slot);128GB 8GB RAM;Cryolite Blue, Uranolith Grey;LG7n;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G99 (6 nm);Mali-G57 MC2;Android 12, HIOS 12;LED flash;8 MP;1080p@30fps;N/A;Yes;Yes, with stereo speakers
4;Tecno;Tecno Spark 30;https://www.gsmarena.com/tecno_spark_30-13356.php;N/A;N/A;18W wired;5000 mAh;IP64 dust tight and water resistant (water splashes);Glass front, plastic frame, plastic back or silicone polymer (eco leather) back;168 x 76.4 x 7.7 mm or 7.9 mm;Nano-SIM + Nano-SIM;-;Yes;Yes;Yes;GPS;Unspecified;USB Type-C;Yes;N/A;N/A;1080 x 2460 pixels (~396 ppi density);6.78 inches, 109.2 cm2 (~85.0% screen-to-body ratio);IPS LCD, 90Hz, 800 nits;N/A;"Fingerprint (side-mounted); unspecified sensors";2024, September 21;Available. Released 2024, October;N/A;Quad-LED flash, HDR;N/A;"64 MP, (wide), 1/1.73"", 0.8µm, PDAF
Auxiliary lens";N/A;1440p@30fps, 1080p@30fps;N/A;microSDXC;128GB 8GB RAM, 256GB 8GB RAM;Stellar Shadow, Astral Ice, Magic Skin 3.0, Bumblebee Edition;KL6;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G91 (12 nm);Mali-G52 MC2;Android 14, HIOS 14;Dual-LED dual-tone flash;13 MP, (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers
5;Tecno;Tecno Camon 19;https://www.gsmarena.com/tecno_camon_19-11617.php;N/A;N/A;18W wired;5000 mAh;N/A;N/A;166.6 x 74.4 x 8.3 mm (6.56 x 2.93 x 0.33 in);Nano-SIM + Nano-SIM;198 g (6.98 oz);Yes;N/A;Yes;GPS;FM radio;USB Type-C 2.0, OTG;Yes;N/A;N/A;1080 x 2460 pixels (~395 ppi density);6.8 inches, 109.8 cm2 (~88.6% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, proximity;2022, June 15;Available. Released 2022, July 13;N/A;Quad-LED flash, panorama, HDR;N/A;N/A;"64 MP, f/1.7, 26mm (wide), 1/1.7"", 0.8µm, PDAF
2 MP, f/2.4, (depth)
QVGA";1080p@30fps;N/A;Unspecified;128GB 4GB RAM, 128GB 6GB RAM;Eco Black, Sea Salt White, Digital Green;CI6n;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769Z Helio G85 (12 nm);Mali-G52 MC2;Android 12, HIOS 8.6;N/A;16 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes
6;Tecno;Tecno Camon 30S;https://www.gsmarena.com/tecno_camon_30s-13426.php;N/A;N/A;33W wired, 0-100% in 45 min;5000 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";N/A;164.5 x 74.6 x 7.6 mm (6.48 x 2.94 x 0.30 in);Nano-SIM + Nano-SIM;-;Yes;Yes;Yes;GPS;FM radio;USB Type-C 2.0, OTG;Yes;N/A;Corning Gorilla Glass;1080 x 2436 pixels (~393 ppi density);6.78 inches, 109.9 cm2 (~89.5% screen-to-body ratio);AMOLED, 120Hz, 1300 nits (HBM);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, October 10;Available. Released 2024, October 10;N/A;Dual-LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS
2 MP, (depth)
Auxiliary lens";Yes;N/A;Unspecified;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Nebula Violet, Blue, Celestial Black, Dawn Gold;CLA5;About 200 EUR;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G100 (6 nm);Mali-G57 MC2;Android 14, up to 2 major Android upgrades, HIOS 14;Dual-LED flash;13 MP;Yes;N/A;No;Yes, with dual speakers
7;Tecno;Tecno Spark 6 Go;https://www.gsmarena.com/tecno_spark_6_go-10636.php;N/A;N/A;N/A;5000 mAh;N/A;N/A;165.6 x 76.3 x 9.1 mm (6.52 x 3.00 x 0.36 in);Nano-SIM + Nano-SIM;-;4.2, A2DP;N/A;No;GPS;FM radio;microUSB 2.0;Wi-Fi 802.11 b/g/n;N/A;Corning Gorilla Glass 3;720 x 1600 pixels, 20:9 ratio (~269 ppi density);6.52 inches, 102.6 cm2 (~81.2% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, proximity;2020, November 22;Available. Released 2020, November 23;"13 MP, f/1.8, AF
QVGA";Dual-LED flash, panorama, HDR;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC;32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM;Ice Jadelite, Mystery White, Aqua Blue;KE5j, KE5k;About 70 EUR;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)Quad-core 1.8 GHz Cortex-A53;Mediatek MT6761D Helio A20 (12 nm) - 2GB, 3GB modelMediatek MT6762D Helio A25 (12 nm) - 4GB model;PowerVR GE8320;Android 10 (Go edition), HIOS 6.2;LED flash;8 MP, f/2.0;;N/A;Yes;Yes
8;Tecno;Tecno Camon 40 Pro;https://www.gsmarena.com/tecno_camon_40_pro_5g-13695.php;N/A;N/A;45W wired, 50% in 23 min, 100% in 43 min;5200 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min)";Glass front (Gorilla Glass 7i), plastic back, plastic frame;164.3 x 74.6 x 7.3 mm (6.47 x 2.94 x 0.29 in);Nano-SIM + Nano-SIM;179 g (6.31 oz);Yes;Yes;Yes;GPS;FM radio;USB Type-C 2.0, OTG;Yes;HDR image support;Corning Gorilla Glass 7i;1080 x 2436 pixels (~393 ppi density);6.78 inches, 109.9 cm2 (~89.7% screen-to-body ratio);AMOLED, 144Hz;Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, March 03;Available. Released 2025, May;"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, (ultrawide), 1/4.0"", 1.12µm, AF";Dual-LED flash, HDR, panorama;N/A;N/A;N/A;4K@30/60fps (HDR), 1080p@30fps;UFS 2.x;No;256GB 8GB RAM, 256GB 12GB RAM;Emerald Lake Green, Galaxy Black, Glacier White;CM7;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Active use score 13:51h;N/A;N/A;1045 nits max brightness (measured);-28.7 LUFS (Average);"AnTuTu: 700909 (v10)
GeekBench: 3218 (v6)
3DMark: 873 (Wild Life Extreme)";Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 (4 nm);Mali-G615 MC2;Android 15, up to 3 major Android upgrades, HIOS 15;N/A;"50 MP, f/2.5, 24mm (wide), 1/2.8"", 0.64µm, PDAF";4K@30fps, 1080p@30/60fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
9;Tecno;Tecno Pova 6 Pro;https://www.gsmarena.com/tecno_pova_6_pro-12830.php;N/A;N/A;"70W wired, 50% in 20 min, 100% in 50 min
10W reverse wired";6000 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front, plastic frame, plastic back;165.5 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in);Nano-SIM + Nano-SIM;198 g (6.98 oz);5.3, A2DP, LE;Yes;Yes;GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2436 pixels (~393 ppi density);6.78 inches, 109.9 cm2 (~87.2% screen-to-body ratio);AMOLED, 120Hz, 1300 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, February 26;Available. Released 2024, April 4;"108 MP, f/1.9, 24mm (wide), 1/1.52"", 0.7µm, PDAF
2 MP, (depth)
0.08 MP (auxiliary lens)";Dual-LED flash;N/A;N/A;N/A;1440p@30fps, 1080p@30/60fps;N/A;microSDXC (dedicated slot);256GB 8GB RAM, 256GB 12GB RAM;Comet Green, Meteorite Grey;LI9;About 410 EUR;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Active use score 14:22h;N/A;N/A;1070 nits max brightness (measured);-25.2 LUFS (Very good);"AnTuTu: 390556 (v9), 433321 (v10)

GeekBench: 1890 (v5), 2035 (v6)
3DMark: 373 (Wild Life Extreme)";Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6080 (6 nm);Mali-G57 MC2;Android 14, HIOS 14;Dual-LED dual-tone flash;"32 MP, f/2.2, 22mm (wide), 1/3.1"", 0.7µm";1440p@30fps, 1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res wireless audio;Yes;Yes, with stereo speakers
10;Tecno;Tecno Pova 6 Neo;https://www.gsmarena.com/tecno_pova_6_neo-12911.php;N/A;N/A;33W wired;7000 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front;168.6 x 76.6 x 9.2 mm (6.64 x 3.02 x 0.36 in);Nano-SIM + Nano-SIM;-;Yes;N/A;Yes;GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0;Yes;N/A;N/A;1080 x 2460 pixels (~396 ppi density);6.78 inches, 109.2 cm2 (~84.5% screen-to-body ratio);IPS LCD, 1B colors, 120Hz, 580 nits (typ);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, April 04;Available. Released 2024, May;N/A;Quad-LED flash;N/A;50 MP, (wide), PDAF;N/A;1440p@30fps, 1080p@30/60fps;N/A;No;128GB 8GB RAM, 256GB 8GB RAM;Starry Silver, Speed Black, Comet Green;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G99 Ultimate (6 nm);Mali-G57 MC2;Android 14, HIOS 14;Dual-LED dual-tone flash;8 MP, (wide);1440p@30fps, 1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res wireless audio;Yes;Yes, with stereo speakers
