No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;Vivo;vivo T4;https://www.gsmarena.com/vivo_t4_5g-13781.php;N/A;N/A;"90W wired, 55W PPS, 44W UFCS, 50% in 33 min
7.5W reverse wired
Bypass Charging";Si/C Li-Ion 7300 mAh;"IP65 dust tight and water resistant (low pressure water jets)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;163.4 x 76.4 x 7.9 mm (6.43 x 3.01 x 0.31 in);Nano-SIM + Nano-SIM;199 g (7.02 oz);5.2, A2DP, LE, aptX HD, aptX Adaptive;Yes;No;GPS, GALILEO, GLONASS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Shield Glass;1080 x 2392 pixels (~388 ppi density);6.77 inches, 110.9 cm2 (~88.8% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR, 800 nits (typ), 1300 nits (HBM), 5000 nits (peak);N/A;N/A;N/A;N/A;Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, April 22;Available. Released 2025, April 29;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30fps, gyro-EIS, OIS;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Emerald Blaze, Phantom Grey;V2502;₹ 9,990;0.99 W/kg (head)     0.87 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41;1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520);Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm);Adreno 810;Android 15, up to 2 major Android upgrades, Funtouch 15;N/A;32 MP, f/2.0, (wide);4K@30fps, 1080p@30fps;N/A;No;Yes
2;Vivo;vivo Y03;https://www.gsmarena.com/vivo_y03-12868.php;N/A;N/A;15W wired;Li-Ion 5000 mAh;IP54 dust protected and water resistant (water splashes);Glass front, plastic frame, plastic back;163.8 x 75.7 x 8.4 mm (6.45 x 2.98 x 0.33 in);Nano-SIM + Nano-SIM;185 g (6.53 oz);5.0, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~83.4% screen-to-body ratio);IPS LCD, 90Hz;N/A;N/A;N/A;N/A;N/A;Accelerometer, proximity;2024, March 13;Available. Released 2024, March 13;N/A;LED flash, panorama;N/A;"13 MP, f/2.2, (wide), PDAF
0.08 MP, f/3.0 (auxiliary lens)";N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;Space Black, Gem Green;V2332;About 180 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G85 (12 nm);Mali-G52 MC2;Android 14, Funtouch 14;N/A;5 MP, f/2.2, (wide);Yes;N/A;Yes;Yes
3;Vivo;vivo V29;https://www.gsmarena.com/vivo_v29-12461.php;N/A;N/A;80W wired, 50% in 17 min;4600 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front, glass back, plastic frame;164.2 x 74.4 x 7.5 mm (6.46 x 2.93 x 0.30 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;186 g (6.56 oz);5.2, A2DP, LE, aptX HD, aptX Adaptive;N/A;Yes;GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1260 x 2800 pixels, 20:9 ratio (~453 ppi density);6.78 inches, 111.0 cm2 (~90.8% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, July 31;Available. Released 2023, September;N/A;Ring-LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (depth)";4K@30fps, 1080p@30fps;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Space Black, Himalayan Blue, Purple Fairy, Majestic Red;V2250;€ 249.00;N/A;0.94 W/kg (head)     1.08 W/kg (body);CDMA 800;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 66, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;Endurance rating 99h;Photo / Video;996 nits max brightness (measured);-28.7 LUFS (Average);"AnTuTu: 544639 (v9), 620950 (v10)
GeekBench: 2797 (v5.5), 3014 (v6.0)
GFXBench: 22fps (ES 3.1 onscreen)";Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55);Qualcomm SM7325 Snapdragon 778G 5G (6 nm);Adreno 642L;Android 13, up to 3 major Android upgrades, Funtouch 13;HDR;"50 MP, f/2.0, 22mm (wide), 1/2.76"", 0.64µm, AF";1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes
4;Vivo;vivo iQOO Z9x;https://www.gsmarena.com/vivo_iqoo_z9x-12958.php;N/A;N/A;"44W wired
Reverse wired";6000 mAh;IP64 dust tight and water resistant (water splashes);Glass front, plastic back, plastic frame;165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in);Nano-SIM + Nano-SIM;199 g (7.05 oz);5.1, A2DP, LE, aptX HD, aptX Adaptive;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c);Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2408 pixels, 20:9 ratio (~393 ppi density);6.72 inches, 108.8 cm2 (~86.4% screen-to-body ratio);IPS LCD, 120Hz, 1000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, April 24;Available. Released 2024, April 29;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
2 MP, f/2.4, (depth)";LED flash, panorama, HDR;N/A;N/A;N/A;4K, 1080p, gyro-EIS;UFS 2.2;microSDXC (uses shared SIM slot);128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Tornado Green (Northern Green), Storm Grey (Mystic Black), White;V2353A, I2219;₹ 13,499;N/A;N/A;1, 3, 5, 8, 28, 40, 77, 78 SA/NSA - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global;1, 3, 8, 28, 38, 40, 41, 77, 78 SA/NSA - Global;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55);Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);Adreno 710;Android 14, Funtouch OS 14 (International), OriginOS (China);N/A;8 MP, f/2.1, (wide);1080p@30fps;24-bit/192kHz Hi-Res & Hi-Res wireless audio;Yes;Yes, with stereo speakers
5;Vivo;vivo X200 FE;https://www.gsmarena.com/vivo_x200_fe_5g-13847.php;N/A;N/A;"90W wired, 100% in 57 min
Reverse wired";Si/C Li-Ion 6500 mAh (Global)Si/C Li-Ion 5300 mAh (Austria & Hungary only);"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)";Glass front, aluminum frame, glass back;150.8 x 71.8 x 8 mm (5.94 x 2.83 x 0.31 in);Nano-SIM + Nano-SIM + eSIM (max 2 at a time)Nano-SIM + Nano-SIM;186 g (6.56 oz);5.4, A2DP, LE, aptX HD;Yes;Yes;GPS, GALILEO, GLONASS, QZSS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6 or 7 (market specific), dual-band;N/A;Schott Xensation Core or Shield Glass, Mohs level 5;1216 x 2640 pixels, 19.5:9 ratio (~461 ppi density);6.31 inches, 97.6 cm2 (~90.2% screen-to-body ratio);LTPO AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, 4500 / 5000 nits (peak);58:09h endurance, 800 cycles;Class B;Class C (100 falls);Class C;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, June 23;Available. Released 2025, July 05;N/A;Laser AF, Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF
50 MP, f/2.7, 70mm (periscope telephoto), 1/1.95"", 0.8µm, multi-directional PDAF (55cm - ∞), OIS, 3x optical zoom
8 MP, f/2.0, 15mm (ultrawide), 1/4.0"", 1.12µm";4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR;UFS 3.1;No;256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Luxe Grey (Black Luxe), Frost Blue (Blue Breeze), Amber Yellow (Yellow Glow), Pink Vibe;V2503;€ 679.15 / ₹ 54,998;0.99 W/kg (head)     0.99 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71;1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 71, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Active use score 15:16h;N/A;N/A;1758 nits max brightness (measured);-26.5 LUFS (Good);"AnTuTu: 1805009 (v10)
GeekBench: 6606 (v6)
3DMark: 4645 (Wild Life Extreme)";Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720);Mediatek Dimensity 9300+ (4 nm);Immortalis-G720 MC12;Android 15, up to 4 major Android upgrades, Funtouch 15;HDR;"50 MP, f/2.0, 20mm (wide), 1/2.76"", 0.64µm, PDAF";4K@30/60fps, 1080p;N/A;No;Yes, with stereo speakers
6;Vivo;vivo V50;https://www.gsmarena.com/vivo_v50-13656.php;N/A;N/A;"90W wired, PD
Reverse wired";Si/C Li-Ion 6000 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)";Glass front, glass back or plastic back;163.3 x 76.7 x 7.4 / 7.6 / 7.7 mm;Nano-SIM + Nano-SIM;189 g or 199 g (6.67 oz);5.4, A2DP, LE;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, QZSS, BDS, NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Diamond Shield Glass, Mohs level 4;1080 x 2392 pixels (~388 ppi density);6.77 inches, 110.9 cm2 (~88.5% screen-to-body ratio);AMOLED, 1B colors, HDR10+, 120Hz, 3840Hz PWM, 1300 nits (HBM), 4500 nits (peak);52:45h endurance, 800 cycles;Class B;Class C (90 falls);Class B;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, February 17;Available. Released 2025, February 25;"50 MP, f/1.9, 23mm (wide), 1/1.55"", 1.0µm, PDAF, OIS
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF";Color spectrum sensor, Zeiss optics, Ring-LED flash, panorama, HDR;N/A;N/A;N/A;4K@30fps, 1080p@30fps, gyro-EIS, OIS;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Ancora Red (Rose Red), Satin Black (Titanium Grey), Starry Blue (Starry Night), Mist Purple;V2427;$ 603.63 / € 529.00 / ₹ 32,999;0.99 W/kg (head)     0.84 W/kg (body);N/A;1, 3, 5, 8, 28, 40, 66, 77, 78 SA/NSA - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 42, 66 - Global;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA - Global;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Active use score 15:20h;N/A;N/A;1274 nits max brightness (measured);-25.1 LUFS (Very good);"AnTuTu: 833862 (v10)
GeekBench: 3210 (v6)
3DMark: 1450 (Wild Life Extreme)";Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510);Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm);Adreno 720;Android 15, up to 3 major Android upgrades, Funtouch 15;Zeiss optics, HDR;"50 MP, f/2.0, 21mm (wide), 1/2.76"", 0.64µm, AF";4K@30fps, 1080p@30fps;N/A;No;Yes, with stereo speakers
7;Vivo;vivo Y17;https://www.gsmarena.com/vivo_y17-9666.php;N/A;N/A;18W wired;5000 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;159.4 x 76.8 x 8.9 mm (6.28 x 3.02 x 0.35 in);Nano-SIMNano-SIM + Nano-SIM;190.5 g (6.74 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;N/A;N/A;720 x 1544 pixels, 19.3:9 ratio (~268 ppi density);6.35 inches, 99.6 cm2 (~81.4% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, proximity, compass;2019, April. Released 2019, April;Discontinued;N/A;LED flash, HDR, panorama;N/A;N/A;"13 MP, f/2.2, PDAF
8 MP, f/2.2, 16mm (ultrawide)
2 MP, f/2.4, (depth)";1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;Mineral Blue, Mystic Purple, Peach Pink, Peacock Blue;1902, V1901A, V1901, 1901, 1902_19;About 230 EUR;1.01 W/kg (head)     0.75 W/kg (body);N/A;1, 3, 5, 8, 34, 38, 39, 40, 41 - China;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765 Helio P35 (12 nm);PowerVR GE8320;Android 9.0 (Pie), Funtouch 9;N/A;"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm - Global
16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm - China";1080p@30fps;N/A;Yes;Yes
8;Vivo;vivo Y19s Pro;https://www.gsmarena.com/vivo_y19s_pro-13942.php;N/A;N/A;"44W wired, 40% in 30 min
Reverse wired";Li-Ion 6000 mAh;"IP64 dust tight and water resistant (water splashes)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front, plastic back, plastic frame;165.8 x 76.1 x 8.1 mm (6.53 x 3.00 x 0.32 in);Nano-SIM + Nano-SIM;200 g (7.05 oz);5.2, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1608 pixels, 20:9 ratio (~264 ppi density);6.68 inches, 107.4 cm2 (~85.1% screen-to-body ratio);IPS LCD, 90Hz, 1000 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2025, June 10;Available. Released 2025, June 10;N/A;Ring-LED flash, panorama;N/A;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
Auxiliary lens";N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 6GB RAM, 256GB 6GB RAM, 256GB 8GB RAM;Pearl Silver, Glossy Black, Glacier Blue;N/A;About 100 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Unisoc Tiger T612 (12 nm);Mali-G57;Android 15, Funtouch 15;N/A;5 MP, f/2.2;Yes;N/A;Yes;Yes, with dual speakers
9;Vivo;vivo Y28;https://www.gsmarena.com/vivo_y28-12860.php;N/A;N/A;"15W wired
Reverse wired";Li-Ion 5000 mAh;IP54 dust protected and water resistant (water splashes);Glass front, plastic frame, plastic back;163.7 x 75.4 x 8.1 mm (6.44 x 2.97 x 0.32 in);Nano-SIM + Nano-SIM;186 g (6.56 oz);5.1, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~83.8% screen-to-body ratio);IPS LCD, 90Hz, 840 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2024, January 07;Available. Released 2024, January 07;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, panorama;N/A;N/A;N/A;1080p@30fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM;Crystal Purple, Glitter Aqua;N/A;N/A;0.98 W/kg (head)     0.86 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41;1, 3, 5, 8, 28, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6020 (7 nm);Mali-G57 MC2;Android 13, Funtouch 13;N/A;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes
10;Vivo;vivo iQOO Z10 Lite;https://www.gsmarena.com/vivo_iqoo_z10_lite_5g-13959.php;N/A;N/A;15W wired;6000 mAh;"IP64 dust tight and water resistant (water splashes)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front, plastic frame, plastic back;167.3 x 77 x 8.2 mm (6.59 x 3.03 x 0.32 in);Nano-SIM + Nano-SIM;202 g (7.13 oz);5.4, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~260 ppi density);6.74 inches, 109.7 cm2 (~85.1% screen-to-body ratio);IPS LCD, 90Hz, 1000 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2025, June 18;Available. Released 2025, June 25;"50 MP, f/1.8, (wide), PDAF
2 MP, (depth)";LED flash, panorama;N/A;N/A;N/A;1080p@30fps;N/A;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM;Titanium Blue, Cyber Green;I2409;₹ 9,998;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41;1, 3, 5, 8, 28, 38, 40, 77, 78 SA/NSA;HSPA, LTE;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 15, up to 2 major Android upgrades, Funtouch 15;N/A;5 MP, f/2.2, (wide);Yes;N/A;Yes;Yes, with stereo speakers
