year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2025,Gaming,Omen Max,Omen Max 16,16-ah0787TX,Intel Core Ultra 9 275HX,NVIDIA RTX 5080 16GB,16.0,32GB DDR5-5600,1TB PCIe 4.0 SSD,2.4,54000000,3429,240,IPS QHD+,0,HP Official,Aluminum
2024,Gaming,Omen,Omen 16,16-wf0054TX,Intel Core i9-13900HX,NVIDIA RTX 4080 12GB,16.1,32GB DDR5-5600,1TB PCIe 4.0 SSD,2.3,45999000,2921,240,IPS QHD,0,HP Official,Aluminum
2024,Gaming,Omen,Omen 16,16-wf0053TX,Intel Core i7-13700HX,NVIDIA RTX 4070 8GB,16.1,16GB DDR5-5600,512GB PCIe 4.0 SSD,2.3,36999000,2349,240,IPS QHD,0,HP Official,Aluminum
2024,Gaming,Omen,Omen 16,16-xf0075TX,Intel Core i9-13900HX,NVIDIA RTX 4070 8GB,16.1,16GB DDR5-5600,1TB PCIe 4.0 SSD,2.33,36999000,2349,165,IPS QHD,0,HP Official,Aluminum
2024,Gaming,Omen,Omen 16,16-xf0074TX,Intel Core i7-13700HX,NVIDIA RTX 4060 8GB,16.1,16GB DDR5-5600,512GB PCIe 4.0 SSD,2.33,28999000,1841,165,IPS QHD,0,HP Official,Aluminum
2024,Gaming,Omen,Omen 16,16-k0090TX,Intel Core i7-12700H,NVIDIA RTX 3070Ti 8GB,16.1,16GB DDR5-4800,512GB PCIe 4.0 SSD,2.32,29999000,1904,165,IPS QHD,0,HP Official,Aluminum
2024,Gaming,Omen,Omen 17,17-ck2097TX,Intel Core i9-13900HX,NVIDIA RTX 4080 12GB,17.3,32GB DDR5-5600,2TB PCIe 4.0 SSD,2.78,52999000,3365,165,IPS QHD,0,HP Official,Aluminum
2025,Gaming,Omen Transcend,Omen Transcend 14,14-fb0083TX,Intel Core Ultra 7 155H,NVIDIA RTX 4060 8GB,14.0,16GB LPDDR5X-7467,1TB PCIe 4.0 SSD,1.6,29999000,1904,120,OLED 2.8K,10,HP Official,Aluminum
2024,Gaming,Victus,Victus 16,16-r1280TX,AMD Ryzen 7 8845HS,NVIDIA RTX 4070 8GB,16.1,16GB DDR5-5600,512GB PCIe 4.0 SSD,2.3,24999000,1587,144,IPS FHD,0,HP Official,Plastic
2024,Gaming,Victus,Victus 16,16-r0070TX,AMD Ryzen 7 7840HS,NVIDIA RTX 4060 8GB,16.1,16GB DDR5-5600,512GB PCIe 4.0 SSD,2.3,21999000,1397,144,IPS FHD,0,HP Official,Plastic
