year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2024,Gaming,Legion,Legion 5i Gen 9,16IRX9,Intel Core i9-14900HX,NVIDIA RTX 4070 8GB,16.0,32GB DDR5-5600,1TB PCIe 4.0 SSD,2.5,32999000,2095,240,IPS WQXGA,0,Lenovo Official,Plastic/Aluminum
2024,Gaming,Legion,Legion 5i Gen 9,16IRX9,Intel Core i7-14650HX,NVIDIA RTX 4060 8GB,16.0,16GB DDR5-5600,512GB PCIe 4.0 SSD,2.5,24999000,1587,165,IPS WQXGA,0,Lenovo Official,Plastic/Aluminum
2024,Gaming,Legion Pro,Legion Pro 5i Gen 9,16IRX9,Intel Core i9-14900HX,NVIDIA RTX 4070 8GB,16.0,32GB DDR5-5600,1TB PCIe 4.0 SSD,2.5,35999000,2285,240,Mini LED WQXGA,0,Lenovo Official,Aluminum
2024,Gaming,Legion Pro,Legion Pro 5i,16IAX7H,Intel Core i7-12700H,NVIDIA RTX 3070Ti 8GB,16.0,32GB DDR5-4800,1TB PCIe 4.0 SSD,2.6,29999000,1904,165,IPS WQXGA,0,Lenovo Official,Aluminum
2024,Gaming,Legion,Legion 5i,15IAH7H,Intel Core i7-12700H,NVIDIA RTX 3060 6GB,15.6,16GB DDR5-4800,512GB PCIe 4.0 SSD,2.4,20999000,1333,165,IPS FHD,0,Lenovo Official,Plastic
2024,Gaming,Legion Slim,Legion Slim 5 Gen 9,16APH8,AMD Ryzen 7 7840HS,NVIDIA RTX 4060 8GB,16.0,16GB DDR5-5600,512GB PCIe 4.0 SSD,2.3,22999000,1460,165,IPS WQXGA,0,Lenovo Official,Aluminum
2024,Gaming,Legion Slim,Legion Slim 5i Gen 8,16IRH8,Intel Core i7-13700H,NVIDIA RTX 4050 6GB,16.0,16GB DDR5-5200,512GB PCIe 4.0 SSD,2.4,19999000,1270,165,IPS WQXGA,0,Lenovo Official,Aluminum
2024,Gaming,LOQ,LOQ 15IRX9,15IRX9-7JID,Intel Core i7-14650HX,NVIDIA RTX 4060 8GB,15.6,16GB DDR5-5600,512GB PCIe 4.0 SSD,2.3,19999000,1270,144,IPS FHD,0,Lenovo Official,Plastic
2024,Gaming,LOQ,LOQ 15IRX9,15IRX9-5JID,Intel Core i7-13620H,NVIDIA RTX 4050 6GB,15.6,12GB DDR5-4800,512GB PCIe 4.0 SSD,2.3,18499000,1174,144,IPS FHD,0,Lenovo Official,Plastic
2024,Gaming,LOQ,LOQ 15IRH8,15IRH8-9GID,Intel Core i5-13420H,NVIDIA RTX 4050 6GB,15.6,16GB DDR5-4800,512GB PCIe 4.0 SSD,2.3,15999000,1016,144,IPS FHD,0,Lenovo Official,Plastic
