gpu,gpu_benchmark_match,gpu_score
NVIDIA GeForce RTX 4070,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 3050,rtx 3050 laptop gpu 95w,10500
AMD Radeon 780M,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
AMD Radeon 660M,,0
Intel Iris Xe Graphics,,0
Intel UHD Graphics,,0
Intel UHD Graphics,,0
Intel UHD Graphics,,0
Intel Iris Xe Graphics,,0
Intel UHD Graphics,,0
NVIDIA GeForce RTX 3050 4GB,rtx 3050 laptop gpu 95w,10500
NVIDIA GeForce GTX 960M 4GB,,0
NVIDIA GeForce RTX 4050 6GB,rtx 4050 laptop gpu 140w,12000
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 4060 8GB,rtx 4060 laptop gpu 140w,14000
NVIDIA GeForce RTX 5080 16GB,rtx 5080 laptop gpu 175w,24000
NVIDIA GeForce RTX 5090 16GB,rtx 5090 laptop gpu 175w,28000
NVIDIA GeForce RTX 4090 16GB,rtx 4090 laptop gpu 175w,21498
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 5070 8GB,rtx 5070 laptop gpu 115w,19000
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 5090 16GB,rtx 5090 laptop gpu 175w,28000
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 4070,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce GTX 1660Ti 6GB,,0
NVIDIA GeForce RTX 3050 4GB,rtx 3050 laptop gpu 95w,10500
NVIDIA GeForce GTX 1650 4GB,gtx 1650 laptop gpu 50w,6500
NVIDIA GeForce RTX 2050 4GB,,0
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 5070 8GB,rtx 5070 laptop gpu 115w,19000
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 3050 4GB,rtx 3050 laptop gpu 95w,10500
NVIDIA GeForce RTX 5060 8GB,rtx 5060 laptop gpu 115w,15000
NVIDIA GeForce RTX 5070 8GB,rtx 5070 laptop gpu 115w,19000
NVIDIA GeForce RTX 4060 6GB,rtx 4060 laptop gpu 140w,14000
Qualcomm Adreno,,0
Intel Arc Graphics,,0
Intel Arc Graphics,,0
Intel Arc Graphics,,0
Intel Arc Graphics,,0
AMD Radeon 890M,,0
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA RTX A5000 16GB,,0
NVIDIA GeForce RTX 3050 4GB,rtx 3050 laptop gpu 95w,10500
NVIDIA GeForce RTX 4060 8GB,rtx 4060 laptop gpu 140w,14000
NVIDIA GeForce RTX 3060 6GB,rtx 3060 laptop gpu 130w,13500
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel UHD Graphics,,0
Intel UHD Graphics,,0
Intel UHD Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
AMD Radeon Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
AMD Radeon Graphics,,0
Intel UHD Graphics,,0
Intel Iris Xe Graphics,,0
NVIDIA GeForce RTX 2050,,0
NVIDIA GeForce RTX 3050,rtx 3050 laptop gpu 95w,10500
NVIDIA GeForce RTX 4050,rtx 4050 laptop gpu 140w,12000
NVIDIA GeForce RTX 4060,rtx 4060 laptop gpu 140w,14000
NVIDIA GeForce RTX 4070,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 4070,rtx 4070 laptop gpu 140w,17000
Intel Arc Graphics,,0
Intel Arc Graphics,,0
Intel UHD Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
AMD Radeon Vega 7,,0
Intel UHD Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Iris Xe Graphics,,0
Intel Arc Graphics,,0
NVIDIA GeForce RTX 4080 12GB,rtx 4080 laptop gpu 140w,19000
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 4070 8GB,rtx 4070 laptop gpu 140w,17000
NVIDIA GeForce RTX 4060 8GB,rtx 4060 laptop gpu 140w,14000
NVIDIA GeForce RTX 3070Ti 8GB,,0
NVIDIA GeForce RTX 3070 8GB,rtx 3070 laptop gpu 140w,15000
NVIDIA GeForce RTX 4080 12GB,rtx 4080 laptop gpu 140w,19000
NVIDIA GeForce RTX 5080 16GB,rtx 5080 laptop gpu 175w,24000
NVIDIA GeForce RTX 4060 8GB,rtx 4060 laptop gpu 140w,14000
NVIDIA GeForce GTX 1650 4GB,gtx 1650 laptop gpu 50w,6500
NVIDIA GeForce GTX 1650 4GB,gtx 1650 laptop gpu 50w,6500
NVIDIA GeForce RTX 4060 8GB,rtx 4060 laptop gpu 140w,14000
